M,K,N,It1,Status
256,256,256,2941,PASS
256,256,1280,2860,PASS
256,256,2304,3072,PASS
256,256,3328,3821,PASS
256,256,4352,3389,PASS
256,1280,256,,FAIL
256,1280,1280,4074,PASS
256,1280,2304,4992,PASS
256,1280,3328,5531,PASS
256,1280,4352,5758,PASS
256,2304,256,3077,PASS
256,2304,1280,4722.00,FAIL
256,2304,2304,5274,PASS
256,2304,3328,5892,PASS
256,2304,4352,7003,PASS
256,3328,256,3476.00,FAIL
256,3328,1280,5243,FAIL
256,3328,2304,6436,FAIL
256,3328,3328,7637,FAIL
256,3328,4352,8767,FAIL
256,4352,256,3934.00,FAIL
256,4352,1280,5572,FAIL
256,4352,2304,7459,FAIL
256,4352,3328,8301,FAIL
256,4352,4352,10464,FAIL
1280,256,256,2906,PASS
1280,256,1280,3659,PASS
1280,256,2304,4239,PASS
1280,256,3328,5444,PASS
1280,256,4352,5045,PASS
1280,1280,256,4091,PASS
1280,1280,1280,6627,PASS
1280,1280,2304,8950,PASS
1280,1280,3328,10916,PASS
1280,1280,4352,13154,PASS
1280,2304,256,4731,PASS
1280,2304,1280,8693,PASS
1280,2304,2304,12139,PASS
1280,2304,3328,17729,PASS
1280,2304,4352,21152,PASS
1280,3328,256,5271,FAIL
1280,3328,1280,11207,FAIL
1280,3328,2304,17012,FAIL
1280,3328,3328,23032,FAIL
1280,3328,4352,28645,FAIL
1280,4352,256,5683,FAIL
1280,4352,1280,12978,FAIL
1280,4352,2304,21633,FAIL
1280,4352,3328,28472,FAIL
1280,4352,4352,36261,FAIL
2304,256,256,3236,PASS
2304,256,1280,4305,PASS
2304,256,2304,5310,PASS
2304,256,3328,6733,PASS
2304,256,4352,7111,PASS
2304,1280,256,4516,PASS
2304,1280,1280,8605,PASS
2304,1280,2304,12587,PASS
2304,1280,3328,17586,PASS
2304,1280,4352,21351,PASS
2304,2304,256,5633,PASS
2304,2304,1280,12811,PASS
2304,2304,2304,21023,PASS
2304,2304,3328,27547,PASS
2304,2304,4352,34212,PASS
2304,3328,256,6272,FAIL
2304,3328,1280,16532,FAIL
2304,3328,2304,27694,FAIL
2304,3328,3328,37392,FAIL
2304,3328,4352,47593,FAIL
2304,4352,256,7131,FAIL
2304,4352,1280,20367,FAIL
2304,4352,2304,34476,FAIL
2304,4352,3328,47624,FAIL
2304,4352,4352,60843,FAIL
3328,256,256,3060,PASS
3328,256,1280,4512,PASS
3328,256,2304,5974,PASS
3328,256,3328,7756,PASS
3328,256,4352,8002,PASS
3328,1280,256,4880,PASS
3328,1280,1280,10881,PASS
3328,1280,2304,17372,PASS
3328,1280,3328,21965,PASS
3328,1280,4352,28505,PASS
3328,2304,256,6214,PASS
3328,2304,1280,16829,PASS
3328,2304,2304,27831,PASS
3328,2304,3328,37156,PASS
3328,2304,4352,47306,PASS
3328,3328,256,8236,FAIL
3328,3328,1280,22996,FAIL
3328,3328,2304,37309,FAIL
3328,3328,3328,51583,FAIL
3328,3328,4352,66885,FAIL
3328,4352,256,8453,FAIL
3328,4352,1280,28687,FAIL
3328,4352,2304,49208,FAIL
3328,4352,3328,66850,FAIL
3328,4352,4352,85917,FAIL
4352,256,256,3301,PASS
4352,256,1280,5326,PASS
4352,256,2304,6761,PASS
4352,256,3328,8798,PASS
4352,256,4352,9770,PASS
4352,1280,256,6329,PASS
4352,1280,1280,12906,PASS
4352,1280,2304,21550,PASS
4352,1280,3328,28452,PASS
4352,1280,4352,36083,PASS
4352,2304,256,7385,PASS
4352,2304,1280,21351,PASS
4352,2304,2304,35990,PASS
4352,2304,3328,47754,PASS
4352,2304,4352,61029,PASS
4352,3328,256,8578,FAIL
4352,3328,1280,28598,FAIL
4352,3328,2304,48637,FAIL
4352,3328,3328,66888,FAIL
4352,3328,4352,84838,FAIL
4352,4352,256,10158,FAIL
4352,4352,1280,36243,FAIL
4352,4352,2304,61540,FAIL
4352,4352,3328,86242,FAIL
4352,4352,4352,111155,FAIL
