M,K,N,It1,Status
256,256,256,557.5,PASS
256,256,1280,1336.6,PASS
256,256,2304,1654.9,PASS
256,256,3328,2040.1,PASS
256,256,4352,2603.95,PASS
256,1280,256,1321.9,PASS
256,1280,1280,3236.85,PASS
256,1280,2304,5755.2,PASS
256,1280,3328,3504.1,PASS
256,1280,4352,4383.35,PASS
256,2304,256,1614.45,PASS
256,2304,1280,5493.55,FAIL
256,2304,2304,4278.3,PASS
256,2304,3328,6409.55,PASS
256,2304,4352,7855.9,PASS
256,3328,256,1938.60,FAIL
256,3328,1280,3574,FAIL
256,3328,2304,6172,FAIL
256,3328,3328,8341,FAIL
256,3328,4352,10875,FAIL
256,4352,256,2523.65,FAIL
256,4352,1280,4674,FAIL
256,4352,2304,7765,FAIL
256,4352,3328,10836,FAIL
256,4352,4352,16312,FAIL
1280,256,256,1033.35,PASS
1280,256,1280,3154.55,PASS
1280,256,2304,5654,PASS
1280,256,3328,3340.95,PASS
1280,256,4352,4064.35,PASS
1280,1280,256,3211.95,PASS
1280,1280,1280,6288.1,PASS
1280,1280,2304,10400.3,PASS
1280,1280,3328,14653,PASS
1280,1280,4352,19294.1,PASS
1280,2304,256,5649.15,PASS
1280,2304,1280,11351.5,PASS
1280,2304,2304,18656.3,PASS
1280,2304,3328
