M,K,N,It1,Status
256,256,256,576.3,PASS
256,256,1280,990.6,PASS
256,256,2304,1397.65,PASS
256,256,3328,1795.2,PASS
256,256,4352,1921,PASS
256,1280,256,,FAIL
256,1280,1280,2707.65,PASS
256,1280,2304,4734.75,PASS
256,1280,3328,2078.7,PASS
256,1280,4352,2967.7,PASS
256,2304,256,1434.75,PASS
256,2304,1280,4588.35,PASS
256,2304,2304,3077.6,PASS
256,2304,3328,4417.5,PASS
256,2304,4352,5277.9,PASS
256,3328,256,1980.25,PASS
256,3328,1280,2558.8,PASS
256,3328,2304,4066.9,PASS
256,3328,3328,5576.55,PASS
256,3328,4352,7112.7,PASS
256,4352,256,2215.8,PASS
256,4352,1280,3069,PASS
256,4352,2304,5217.65,PASS
256,4352,3328,7107.8,PASS
256,4352,4352,10936.8,PASS
1280,256,256,1012.25,PASS
1280,256,1280,2564.45,PASS
1280,256,2304,4671,PASS
1280,256,3328,2571.75,PASS
1280,256,4352,3079,PASS
1280,1280,256,2604.9,PASS
1280,1280,1280,3739.5,PASS
1280,1280,2304,6675.8,PASS
1280,1280,3328,9233.05,PASS
1280,1280,4352,11951.5,PASS
1280,2304,256,4665.1,PASS
1280,2304,1280,6933.4,PASS
1280,2304,2304,11687.5,PASS
1280,2304,3328,16417.8,PASS
1280,2304,4352,21444.6,PASS
1280,3328,256,2571.15,PASS
1280,3328,1280,10354.2,PASS
1280,3328,2304,16447.6,PASS
1280,3328,3328,23888.6,PASS
1280,3328,4352,30576.2,PASS
1280,4352,256,3051.8,PASS
1280,4352,1280,13005.5,PASS
1280,4352,2304,21181.7,PASS
1280,4352,3328,30349.9,PASS
1280,4352,4352,41380.6,PASS
2304,256,256,1430.9,PASS
2304,256,1280,4633.4,PASS
2304,256,2304,3157.65,PASS
2304,256,3328,3671.8,PASS
2304,256,4352,4508.5,PASS
2304,1280,256,4735.9,PASS
2304,1280,1280,6487.1,PASS
2304,1280,2304,11534.2,PASS
2304,1280,3328,16616,PASS
2304,1280,4352,21405.1,PASS
2304,2304,256,3081.75,PASS
2304,2304,1280,11543.8,PASS
2304,2304,2304,20383.1,PASS
2304,2304,3328,28499.9,PASS
2304,2304,4352,37142.7,PASS
2304,3328,256,4144.6,PASS
2304,3328,1280,16269.1,PASS
2304,3328,2304,28719.3,PASS
2304,3328,3328,41815,PASS
2304,3328,4352,53452.4,PASS
2304,4352,256,5108.4,PASS
2304,4352,1280,21210.2,PASS
2304,4352,2304,37632.6,PASS
2304,4352,3328,53557.1,PASS
2304,4352,4352,71110.2,PASS
3328,256,256,1507.65,PASS
3328,256,1280,2383.6,PASS
3328,256,2304,3532.85,PASS
3328,256,3328,5157.25,PASS
3328,256,4352,6468.5,PASS
3328,1280,256,2319.8,PASS
3328,1280,1280,9491.7,PASS
3328,1280,2304,16282.4,PASS
3328,1280,3328,24186.1,PASS
3328,1280,4352,29410.4,PASS
3328,2304,256,4065.05,PASS
3328,2304,1280,16243.8,PASS
3328,2304,2304,29043.9,PASS
3328,2304,3328,42279.6,PASS
3328,2304,4352,53484.8,PASS
3328,3328,256,5645.15,PASS
3328,3328,1280,23735.3,PASS
3328,3328,2304,41207.5,PASS
3328,3328,3328,60829.2,PASS
3328,3328,4352,76304.8,PASS
3328,4352,256,7089.85,PASS
3328,4352,1280,30634.1,PASS
3328,4352,2304,53779.6,PASS
3328,4352,3328,78557.5,PASS
3328,4352,4352,101114,PASS
4352,256,256,2123.8,PASS
4352,256,1280,3158.8,PASS
4352,256,2304,4743.1,PASS
4352,256,3328,6599.15,PASS
4352,256,4352,8597.9,PASS
4352,1280,256,2889.6,PASS
4352,1280,1280,11808,PASS
4352,1280,2304,20927.9,PASS
4352,1280,3328,29855.8,PASS
4352,1280,4352,39966.6,PASS
4352,2304,256,5475.95,PASS
4352,2304,1280,21262.9,PASS
4352,2304,2304,37237.1,PASS
4352,2304,3328,53030.4,PASS
4352,2304,4352,71195.8,PASS
4352,3328,256,6918.65,PASS
4352,3328,1280,30310.8,PASS
4352,3328,2304,53408.3,PASS
4352,3328,3328,76494.9,PASS
4352,3328,4352,101123,PASS
4352,4352,256,10984.5,PASS
4352,4352,1280,41361.9,PASS
4352,4352,2304,71402.9,PASS
4352,4352,3328,101091,PASS
4352,4352,4352,130780,PASS
