M,K,N,It1,Status
256,256,256,533.8,PASS
256,256,1280,911.8,PASS
256,256,2304,1399.4,PASS
256,256,3328,1589.1,PASS
256,256,4352,2164.2,PASS
256,1280,256,942.15,PASS
256,1280,1280,2510.55,PASS
256,1280,2304,4779.1,PASS
256,1280,3328,2002.45,PASS
256,1280,4352,2433.2,PASS
256,2304,256,1402,PASS
256,2304,1280,4676.65,PASS
256,2304,2304,2501.1,PASS
256,2304,3328,3405.6,PASS
256,2304,4352,4006.85,PASS
256,3328,256,1621.55,PASS
256,3328,1280,1884.85,PASS
256,3328,2304,3190.75,PASS
256,3328,3328,4036.65,PASS
256,3328,4352,5349.2,PASS
256,4352,256,2150.1,PASS
256,4352,1280,2448.35,PASS
256,4352,2304,3887.6,PASS
256,4352,3328,5142.6,PASS
256,4352,4352,9505.45,PASS
1280,256,256,1066.85,PASS
1280,256,1280,2688.4,PASS
1280,256,2304,4862.05,PASS
1280,256,3328,1741.6,PASS
1280,256,4352,2104.05,PASS
1280,1280,256,2519.6,PASS
1280,1280,1280,2749.2,PASS
1280,1280,2304,4679.05,PASS
1280,1280,3328,6930.55,PASS
1280,1280,4352,8672.3,PASS
1280,2304,256,4726.15,PASS
1280,2304,1280,4852.5,PASS
1280,2304,2304,8317.65,PASS
1280,2304,3328,11529.8,PASS
1280,2304,4352,15174,PASS
1280,3328,256,2005.35,PASS
1280,3328,1280,7669.65,PASS
1280,3328,2304,11393.7,PASS
1280,3328,3328,16192.6,PASS
1280,3328,4352,21573.2,PASS
1280,4352,256,2164,PASS
1280,4352,1280,9223.35,PASS
1280,4352,2304,14490.7,PASS
1280,4352,3328,21096.7,PASS
1280,4352,4352,30400.8,PASS
2304,256,256,1475.6,PASS
2304,256,1280,4724.75,PASS
2304,256,2304,2563.5,PASS
2304,256,3328,3048.6,PASS
2304,256,4352,3434.1,PASS
2304,1280,256,4844.1,PASS
2304,1280,1280,4523.9,PASS
2304,1280,2304,8267.85,PASS
2304,1280,3328,11683.8,PASS
2304,1280,4352,14880.3,PASS
2304,2304,256,1942.7,PASS
2304,2304,1280,7764.9,PASS
2304,2304,2304,13917,PASS
2304,2304,3328,19913.4,PASS
2304,2304,4352,26340.1,PASS
2304,3328,256,2831.25,PASS
2304,3328,1280,10665,PASS
2304,3328,2304,19610.8,PASS
2304,3328,3328,28327.1,PASS
2304,3328,4352,37792.9,PASS
2304,4352,256,3855.35,PASS
2304,4352,1280,14128.7,PASS
2304,4352,2304,25467.6,PASS
2304,4352,3328,37113.6,PASS
2304,4352,4352,51661.9,PASS
3328,256,256,1784.8,PASS
3328,256,1280,1843.45,PASS
3328,256,2304,2754.7,PASS
3328,256,3328,3981.3,PASS
3328,256,4352,4790.85,PASS
3328,1280,256,1464.5,PASS
3328,1280,1280,6344.95,PASS
3328,1280,2304,11537.6,PASS
3328,1280,3328,17935.2,PASS
3328,1280,4352,21299.6,PASS
3328,2304,256,2735.1,PASS
3328,2304,1280,11036.2,PASS
3328,2304,2304,19755.9,PASS
3328,2304,3328,29764.4,PASS
3328,2304,4352,37906.1,PASS
3328,3328,256,4006.75,PASS
3328,3328,1280,15067.5,PASS
3328,3328,2304,27728,PASS
3328,3328,3328,42638.1,PASS
3328,3328,4352,53552.8,PASS
3328,4352,256,5015.15,PASS
3328,4352,1280,19873.8,PASS
3328,4352,2304,35981.9,PASS
3328,4352,3328,54600.6,PASS
3328,4352,4352,71966.2,PASS
4352,256,256,2125.5,PASS
4352,256,1280,2313.3,PASS
4352,256,2304,3291.2,PASS
4352,256,3328,4608.3,PASS
4352,256,4352,6480.05,PASS
4352,1280,256,2111.1,PASS
4352,1280,1280,7751.35,PASS
4352,1280,2304,14549.2,PASS
4352,1280,3328,21105.6,PASS
4352,1280,4352,28692.5,PASS
4352,2304,256,3234.15,PASS
4352,2304,1280,13865.8,PASS
4352,2304,2304,25593.9,PASS
4352,2304,3328,36140.4,PASS
4352,2304,4352,51467.9,PASS
4352,3328,256,4798.85,PASS
4352,3328,1280,19943.7,PASS
4352,3328,2304,36117.9,PASS
4352,3328,3328,52045.9,PASS
4352,3328,4352,70890.6,PASS
4352,4352,256,8325.2,PASS
4352,4352,1280,27770.5,PASS
4352,4352,2304,48769.4,PASS
4352,4352,3328,69200.6,PASS
4352,4352,4352,92491.4,PASS
