M,K,N,It1,Status
256,256,256,514.7,PASS
256,256,1280,759.05,PASS
256,256,2304,1052.9,PASS
256,256,3328,1118.65,PASS
256,256,4352,1285.75,PASS
256,1280,256,760.1,PASS
256,1280,1280,,FAIL
256,1280,2304,,FAIL
256,1280,3328,,FAIL
256,1280,4352,,FAIL
256,2304,256,996.8,PASS
256,2304,1280,,FAIL
256,2304,2304,,FAIL
256,2304,3328,,FAIL
256,2304,4352,,FAIL
256,3328,256,1240.65,PASS
256,3328,1280,1236.85,PASS
256,3328,2304,2350.9,PASS
256,3328,3328,2532.95,PASS
256,3328,4352,3041.7,PASS
256,4352,256,1272.60,FAIL
256,4352,1280,1921.25,PASS
256,4352,2304,2501.15,PASS
256,4352,3328,3275.55,PASS
256,4352,4352,5458.7,PASS
1280,256,256,802.15,PASS
1280,256,1280,1603.05,PASS
1280,256,2304,2624.25,PASS
1280,256,3328,1218,PASS
1280,256,4352,1397.05,PASS
1280,1280,256,,FAIL
1280,1280,1280,,FAIL
1280,1280,2304,,FAIL
1280,1280,3328,,FAIL
1280,1280,4352,,FAIL
1280,2304,256,,FAIL
1280,2304,1280,,FAIL
1280,2304,2304,,FAIL
1280,2304,3328,,FAIL
1280,2304,4352,,FAIL
1280,3328,256,1558.25,PASS
1280,3328,1280,4665.1,PASS
1280,3328,2304,6888.4,PASS
1280,3328,3328,9510.7,PASS
1280,3328,4352,12325.7,PASS
1280,4352,256,2180.5,PASS
1280,4352,1280,5649.2,PASS
1280,4352,2304,8617.85,PASS
1280,4352,3328,12193,FAIL
1280,4352,4352,17379,FAIL
2304,256,256,1015.55,PASS
2304,256,1280,2524.75,PASS
2304,256,2304,1347.05,PASS
2304,256,3328,1827.95,PASS
2304,256,4352,2349.65,PASS
2304,1280,256,,FAIL
2304,1280,1280,,FAIL
2304,1280,2304,,FAIL
2304,1280,3328,,FAIL
2304,1280,4352,,FAIL
2304,2304,256,,FAIL
2304,2304,1280,,FAIL
2304,2304,2304,,FAIL
2304,2304,3328,,FAIL
2304,2304,4352,,FAIL
2304,3328,256,2412.9,PASS
2304,3328,1280,6305,PASS
2304,3328,2304,12148.2,PASS
2304,3328,3328,16185.5,PASS
2304,3328,4352,21562.8,PASS
2304,4352,256,2328.5,PASS
2304,4352,1280,8282.7,PASS
2304,4352,2304,15765.9,PASS
2304,4352,3328,22206.5,PASS
2304,4352,4352,29310.6,PASS
3328,256,256,1099.65,PASS
3328,256,1280,813.55,PASS
3328,256,2304,1820.65,PASS
3328,256,3328,2489.15,PASS
3328,256,4352,3039.65,PASS
3328,1280,256,,FAIL
3328,1280,1280,,FAIL
3328,1280,2304,,FAIL
3328,1280,3328,,FAIL
3328,1280,4352,,FAIL
3328,2304,256,,FAIL
3328,2304,1280,,FAIL
3328,2304,2304,,FAIL
3328,2304,3328,,FAIL
3328,2304,4352,,FAIL
3328,3328,256,2759.75,PASS
3328,3328,1280,8991.85,PASS
3328,3328,2304,15647,PASS
3328,3328,3328,24407.7,PASS
3328,3328,4352,30351.6,PASS
3328,4352,256,3084.4,PASS
3328,4352,1280,11556,FAIL
3328,4352,2304,20936,FAIL
3328,4352,3328,31711.7,PASS
3328,4352,4352,41271,FAIL
4352,256,256,1358.75,PASS
4352,256,1280,1344.4,PASS
4352,256,2304,2411.55,PASS
4352,256,3328,2945.6,PASS
4352,256,4352,3694.5,PASS
4352,1280,256,,FAIL
4352,1280,1280,,FAIL
4352,1280,2304,,FAIL
4352,1280,3328,,FAIL
4352,1280,4352,,FAIL
4352,2304,256,,FAIL
4352,2304,1280,,FAIL
4352,2304,2304,,FAIL
4352,2304,3328,,FAIL
4352,2304,4352,,FAIL
4352,3328,256,2767.8,PASS
4352,3328,1280,11130,PASS
4352,3328,2304,20347.2,PASS
4352,3328,3328,29574.2,PASS
4352,3328,4352,39973.9,PASS
4352,4352,256,4400.75,PASS
4352,4352,1280,15457,FAIL
4352,4352,2304,27493.3,PASS
4352,4352,3328,40417.9,PASS
4352,4352,4352,52975,PASS
