M,K,N,It1,Status
512,512,512,1652.6,PASS
512,512,1024,3166.9,PASS
512,512,2560,6416,PASS
512,512,4096,9169.9,PASS
512,1024,512,3219.05,PASS
512,1024,1024,5404.85,PASS
512,1024,2560,7249.5,PASS
512,1024,4096,11345.5,PASS
512,2560,512,6755.85,FAIL
512,2560,1024,7468.45,PASS
512,2560,2560,17946.6,PASS
512,2560,4096,28609,FAIL
512,4096,512,9199.95,FAIL
512,4096,1024,11848,FAIL
512,4096,2560,28591,FAIL
512,4096,4096,46876,FAIL
1024,512,512,3092.55,PASS
1024,512,1024,4881.9,PASS
1024,512,2560,7253.6,PASS
1024,512,4096,11319.2,PASS
1024,1024,512,4912.6,PASS
1024,1024,1024,9285.4,PASS
1024,1024,2560,14397,PASS
1024,1024,4096,22973.2,PASS
1024,2560,512,7797.5,PASS
1024,2560,1024,15351,PASS
1024,2560,2560,34705.4,PASS
1024,2560,4096,55416.1,PASS
1024,4096,512,11713,FAIL
1024,4096,1024,23878,FAIL
1024,4096,2560,55336,FAIL
1024,4096,4096,90263,FAIL
2560,512,512,6551.5,PASS
2560,512,1024,7212.4,PASS
2560,512,2560,17793.7,PASS
2560,512,4096,27898.6,PASS
2560,1024,512,7453.75,PASS
2560,1024,1024,14413,PASS
2560,1024,2560,34891.6,PASS
2560,1024,4096,54970.1,PASS
2560,2560,512,17997.4,PASS
2560,2560,1024,35192.6,PASS
2560,2560,2560,86954,PASS
2560,2560,4096,135853,PASS
2560,4096,512,28641,FAIL
2560,4096,1024,55544,FAIL
2560,4096,2560,138346,FAIL
2560,4096,4096,218802,FAIL
4096,512,512,9360.3,PASS
4096,512,1024,11340.1,PASS
4096,512,2560,27921.6,PASS
4096,512,4096,44704.2,PASS
4096,1024,512,11386.8,PASS
4096,1024,1024,22458.2,PASS
4096,1024,2560,54785.7,PASS
4096,1024,4096,88419.5,PASS
4096,2560,512,28578,FAIL
4096,2560,1024,55184.9,PASS
4096,2560,2560,135895,PASS
4096,2560,4096,218790,PASS
4096,4096,512,46802,FAIL
4096,4096,1024,89835,FAIL
4096,4096,2560,218920,FAIL
4096,4096,4096,347446,FAIL
