M,K,N,It1,Status
512,512,512,1052.3,PASS
512,512,1024,1622.35,PASS
512,512,2560,3410.05,PASS
512,512,4096,4666.45,PASS
512,1024,512,1981.65,PASS
512,1024,1024,2862.15,PASS
512,1024,2560,1983.25,PASS
512,1024,4096,2824.15,PASS
512,2560,512,3435.75,FAIL
512,2560,1024,2190,FAIL
512,2560,2560,4674,FAIL
512,2560,4096,6869,FAIL
512,4096,512,4354.25,FAIL
512,4096,1024,3038,FAIL
512,4096,2560,6846,FAIL
512,4096,4096,12666,FAIL
1024,512,512,1583.8,PASS
1024,512,1024,2646.9,PASS
1024,512,2560,2132.95,PASS
1024,512,4096,3056,PASS
1024,1024,512,2417.7,PASS
1024,1024,1024,4468.55,PASS
1024,1024,2560,3854.9,PASS
1024,1024,4096,5541,PASS
1024,2560,512,2349,FAIL
1024,2560,1024,4163,FAIL
1024,2560,2560,8508,FAIL
1024,2560,4096,12856,FAIL
1024,4096,512,2808,FAIL
1024,4096,1024,6220,FAIL
1024,4096,2560,12494,FAIL
1024,4096,4096,22385,FAIL
2560,512,512,3394.3,PASS
2560,512,1024,1707.6,PASS
2560,512,2560,3601.15,PASS
2560,512,4096,6382.35,PASS
2560,1024,512,1722.5,PASS
2560,1024,1024,2982.9,PASS
2560,1024,2560,8020,PASS
2560,1024,4096,12684.2,PASS
2560,2560,512,3942,FAIL
2560,2560,1024,7796,FAIL
2560,2560,2560,20262,FAIL
2560,2560,4096,30921,FAIL
2560,4096,512,6199,FAIL
2560,4096,1024,11590,FAIL
2560,4096,2560,32219,FAIL
2560,4096,4096,50582,FAIL
4096,512,512,4251.55,PASS
4096,512,1024,2634.35,PASS
4096,512,2560,6164.15,PASS
4096,512,4096,10119.2,PASS
4096,1024,512,2364.15,PASS
4096,1024,1024,4186.65,PASS
4096,1024,2560,12125.4,PASS
4096,1024,4096,20749.7,PASS
4096,2560,512,6023,FAIL
4096,2560,1024,11291,FAIL
4096,2560,2560,30246,FAIL
4096,2560,4096,50827,FAIL
4096,4096,512,10750,FAIL
4096,4096,1024,20088,FAIL
4096,4096,2560,49317,FAIL
4096,4096,4096,78926,FAIL
