M,K,N,It1,Status,shuffle_time
512,512,512,657.6,PASS,3676.25
512,512,1024,846.80,FAIL,5865.75
512,512,2560,796,FAIL,12743
512,512,4096,1027,FAIL,19105
512,1024,512,887.40,FAIL,5822.05
512,1024,1024,1242.25,PASS,9057.6
512,1024,2560,1685,FAIL,19655
512,1024,4096,2265,FAIL,28740
512,2560,512,1411.75,FAIL,12576.70
512,2560,1024,2201.45,FAIL,18526.55
512,2560,2560,2738,FAIL,42482
512,2560,4096,5489,FAIL,61778
512,4096,512,1902.95,FAIL,18449.60
512,4096,1024,3208.70,FAIL,31979.90
512,4096,2560,5525,FAIL,62914
512,4096,4096,7282,FAIL,95227
1024,512,512,1042.2,PASS,5424.15
1024,512,1024,1324.85,FAIL,9203.30
1024,512,2560,2454,FAIL,19226
1024,512,4096,2126,FAIL,27379
1024,1024,512,1385.10,FAIL,8789.30
1024,1024,1024,2131.05,PASS,13146.8
1024,1024,2560,2284,FAIL,26974
1024,1024,4096,3061,FAIL,39454
1024,2560,512,2200.45,FAIL,19693.65
1024,2560,1024,4195.80,FAIL,26218.65
1024,2560,2560,4699,FAIL,51759
1024,2560,4096,8279,FAIL,76620
1024,4096,512,3074.00,FAIL,29182.10
1024,4096,1024,5183.10,FAIL,39809.35
1024,4096,2560,8222,FAIL,77188
1024,4096,4096,11516,FAIL,112499
2560,512,512,1141.3,PASS,11674.5
2560,512,1024,1427,FAIL,18632
2560,512,2560,2750,FAIL,37942
2560,512,4096,3778,FAIL,59803
2560,1024,512,1614,FAIL,19616
2560,1024,1024,2542.55,PASS,26730.7
2560,1024,2560,4721,FAIL,49183
2560,1024,4096,6562,FAIL,74380
2560,2560,512,3054,FAIL,42606
2560,2560,1024,4670,FAIL,52950
2560,2560,2560,11540,FAIL,89333
2560,2560,4096,16639,FAIL,123048
2560,4096,512,5708,FAIL,62789
2560,4096,1024,8320,FAIL,78966
2560,4096,2560,16869,FAIL,123333
2560,4096,4096,25420,FAIL,162843
4096,512,512,1215.45,PASS,18895.8
4096,512,1024,2006,FAIL,28185
4096,512,2560,3917,FAIL,59934
4096,512,4096,5694,FAIL,90394
4096,1024,512,2203,FAIL,29919
4096,1024,1024,3357.05,PASS,40273.2
4096,1024,2560,6615,FAIL,75898
4096,1024,4096,10122,FAIL,111954
4096,2560,512,5695,FAIL,63482
4096,2560,1024,8308,FAIL,77355
4096,2560,2560,16904,FAIL,123885
4096,2560,4096,25272,FAIL,168534
4096,4096,512,7193,FAIL,93959
4096,4096,1024,11843,FAIL,111507
4096,4096,2560,25277,FAIL,166329
4096,4096,4096,38414,FAIL,223588
