M,K,N,It1,Max,Status
512,704,512,176.575,172,PASS
512,704,1024,251.525,238,PASS
512,704,4096,741.5,729,PASS
512,704,8192,1732.47,1538,PASS
512,1408,512,,,FAIL
512,1408,1024,396.6,390,PASS
512,1408,4096,1720.85,1362,PASS
512,1408,8192,3345.25,2948,PASS
512,4224,512,564.7,544,PASS
512,4224,1024,1012,1004,PASS
512,4224,4096,4272.2,4083,PASS
512,4224,8192,9108.4,8536,PASS
512,5632,512,738.875,717,PASS
512,5632,1024,1646.28,1337,PASS
512,5632,4096,5842.08,5354,PASS
512,5632,8192,12340.5,11677,PASS
1024,704,512,245.5,227,PASS
1024,704,1024,413.375,385,PASS
1024,704,4096,1673.38,1366,PASS
1024,704,8192,3220.85,2876,PASS
1024,1408,512,396.175,386,PASS
1024,1408,1024,720.8,703,PASS
1024,1408,4096,3128.52,2671,PASS
1024,1408,8192,5782.98,5466,PASS
1024,4224,512,1010.17,1005,PASS
1024,4224,1024,1951.75,1936,PASS
1024,4224,4096,7933.35,7587,PASS
1024,4224,8192,17376.6,16487,PASS
1024,5632,512,1313.53,1305,PASS
1024,5632,1024,2619.73,2533,PASS
1024,5632,4096,10881.2,10359,PASS
1024,5632,8192,22891.9,22149,PASS
4096,704,512,705.475,701,PASS
4096,704,1024,1674.53,1375,PASS
4096,704,4096,5256.02,5118,PASS
4096,704,8192,11331.6,10578,PASS
4096,1408,512,1479.95,1309,PASS
4096,1408,1024,2606.57,2507,PASS
4096,1408,4096,10589.8,10080,PASS
4096,1408,8192,21686.2,20849,PASS
4096,4224,512,3994.88,3840,PASS
4096,4224,1024,7768.42,7454,PASS
4096,4224,4096,30460.1,29944,PASS
4096,4224,8192,64711.1,63486,PASS
4096,5632,512,5422.6,5016,PASS
4096,5632,1024,10609.9,9942,PASS
4096,5632,4096,41125.4,40412,PASS
4096,5632,8192,87408.3,84999,PASS
8192,704,512,1328.53,1298,PASS
8192,704,1024,2531.52,2520,PASS
8192,704,4096,10744.8,10101,PASS
8192,704,8192,21855.8,21304,PASS
8192,1408,512,2545.68,2532,PASS
8192,1408,1024,4981.67,4927,PASS
8192,1408,4096,20176.2,19737,PASS
8192,1408,8192,41873.2,40933,PASS
8192,4224,512,7416.62,7292,PASS
8192,4224,1024,15355.4,14652,PASS
8192,4224,4096,59803.1,58829,PASS
8192,4224,8192,127218,123709,PASS
8192,5632,512,9872.25,9727,PASS
8192,5632,1024,20368.5,19579,PASS
8192,5632,4096,81148.7,80269,PASS
8192,5632,8192,174796,170610,PASS
