M,K,N,It1,Max,Status,shuffle_time
640,512,512,197.5,181,PASS,1134
640,512,1024,309.325,304,PASS,2278
640,512,4096,1323.22,1019,PASS,8479
640,512,8192,,,FAIL,
640,1024,512,305.3,292,PASS,2556
640,1024,1024,575.075,527,PASS,4405
640,1024,4096,2227.45,1941,PASS,19143
640,1024,8192,,,FAIL,
640,4096,512,1273.38,1012,PASS,9063
640,4096,1024,1897.05,1879,PASS,18717
640,4096,4096,7676.08,7322,PASS,79991
640,4096,8192,,,FAIL,
640,6144,512,1465.25,1445,PASS,15063
640,6144,1024,3000.7,2787,PASS,29586
640,6144,4096,11580.3,11019,PASS,118100
640,6144,8192,,,FAIL,
1280,512,512,308.175,300,PASS,1106
1280,512,1024,571.175,532,PASS,2287
1280,512,4096,2229.62,1970,PASS,8563
1280,512,8192,,,FAIL,
1280,1024,512,552.55,522,PASS,2337
1280,1024,1024,1234.07,996,PASS,4438
1280,1024,4096,3804.48,3658,PASS,18337
1280,1024,8192,,,FAIL,
1280,4096,512,1904.28,1877,PASS,9305
1280,4096,1024,3783.77,3672,PASS,18399
1280,4096,4096,15243.5,14531,PASS,80438
1280,4096,8192,,,FAIL,
1280,6144,512,2798.88,2785,PASS,13667
1280,6144,1024,5629.33,5487,PASS,29461
1280,6144,4096,22478.1,21692,PASS,119005
1280,6144,8192,,,FAIL,
3840,512,512,820.875,800,PASS,1146
3840,512,1024,1525.65,1485,PASS,2267
3840,512,4096,5998.55,5591,PASS,8530
3840,512,8192,,,FAIL,
3840,1024,512,1879.18,1519,PASS,2331
3840,1024,1024,3211.1,2859,PASS,4487
3840,1024,4096,11748.1,11030,PASS,17930
3840,1024,8192,,,FAIL,
3840,4096,512,5941,5635,PASS,8959
3840,4096,1024,11782,11035,PASS,18323
3840,4096,4096,43962.9,43426,PASS,80495
3840,4096,8192,,,FAIL,
3840,6144,512,8602.58,8298,PASS,13771
3840,6144,1024,17251.6,16792,PASS,29399
3840,6144,4096,65665.8,64903,PASS,117950
3840,6144,8192,,,FAIL,
8320,512,512,1753.72,1702,PASS,1123
8320,512,1024,3779.3,3365,PASS,2311
8320,512,4096,12816.3,12274,PASS,9051
8320,512,8192,,,FAIL,
8320,1024,512,3344.57,3258,PASS,2378
8320,1024,1024,6682.8,6365,PASS,4548
8320,1024,4096,24359.9,23771,PASS,18460
8320,1024,8192,,,FAIL,
8320,4096,512,12701.6,12040,PASS,9205
8320,4096,1024,24383.1,23559,PASS,18292
8320,4096,4096,93807.1,93369,PASS,79467
8320,4096,8192,,,FAIL,
8320,6144,512,18715.4,18180,PASS,13901
8320,6144,1024,36069.8,35313,PASS,29572
8320,6144,4096,141575,140848,PASS,117590
8320,6144,8192,,,FAIL,
