M,K,N,It1,Max,Status,shuffle_time
768,512,512,148.875,137,PASS,2786
768,512,1024,180.925,175,PASS,3976
768,512,4096,499.15,476,PASS,11398
768,512,8192,1107.1,1076,PASS,19307
768,1024,512,182.175,174,PASS,5916
768,1024,1024,249.225,244,PASS,7790
768,1024,4096,690.175,684,PASS,21536
768,1024,8192,1322.97,1300,PASS,41272
768,4096,512,418.6,403,PASS,22171
768,4096,1024,731.375,722,PASS,31538
768,4096,4096,2626.77,2585,PASS,93096
768,4096,8192,5188.92,5121,PASS,177307
768,6144,512,727.525,716,PASS,33427
768,6144,1024,1317,1290,PASS,50063
768,6144,4096,5366.52,5017,PASS,140753
768,6144,8192,10607.2,10160,PASS,256448
1536,512,512,197.125,189,PASS,4290
1536,512,1024,265.8,253,PASS,5511
1536,512,4096,866.25,809,PASS,12475
1536,512,8192,2060.2,1938,PASS,22367
1536,1024,512,265.225,247,PASS,11845
1536,1024,1024,400.25,383,PASS,10672
1536,1024,4096,1292.95,1271,PASS,24671
1536,1024,8192,2789.38,2513,PASS,45088
1536,4096,512,727.925,718,PASS,38364
1536,4096,1024,1682.7,1340,PASS,48025
1536,4096,4096,5108.12,4979,PASS,108635
1536,4096,8192,10618.8,10163,PASS,191205
1536,6144,512,1400.4,1255,PASS,57839
1536,6144,1024,2949.95,2692,PASS,72499
1536,6144,4096,10741.4,9977,PASS,164321
1536,6144,8192,20524.1,19817,PASS,280014
4608,512,512,496.175,470,PASS,10580
4608,512,1024,698.5,667,PASS,11741
4608,512,4096,2854.12,2558,PASS,17764
4608,512,8192,6092.2,5617,PASS,26647
4608,1024,512,720.15,700,PASS,22594
4608,1024,1024,1417.88,1105,PASS,24734
4608,1024,4096,4041.65,3747,PASS,37464
4608,1024,8192,7847.42,7265,PASS,59216
4608,4096,512,2459.3,2373,PASS,97097
4608,4096,1024,4207.05,3882,PASS,113787
4608,4096,4096,15596.2,15132,PASS,168604
4608,4096,8192,30891.2,30307,PASS,244090
4608,6144,512,4136.77,3809,PASS,146342
4608,6144,1024,8016.23,7620,PASS,163531
4608,6144,4096,29905.8,29142,PASS,250025
4608,6144,8192,59617.3,58708,PASS,368622
7680,512,512,812.975,800,PASS,17315
7680,512,1024,1424,1124,PASS,18817
7680,512,4096,4889.2,4438,PASS,24788
7680,512,8192,10950,10155,PASS,33475
7680,1024,512,1478.3,1367,PASS,38147
7680,1024,1024,2167.3,1951,PASS,40042
7680,1024,4096,6827.33,6239,PASS,53338
7680,1024,8192,13100.5,12347,PASS,74133
7680,4096,512,3786,3400,PASS,159850
7680,4096,1024,6935.45,6669,PASS,169190
7680,4096,4096,25448.7,24966,PASS,228056
7680,4096,8192,50575.4,50131,PASS,300850
7680,6144,512,6595.75,6154,PASS,239803
7680,6144,1024,13085.6,12385,PASS,251711
7680,6144,4096,49639.3,48988,PASS,341922
7680,6144,8192,98789.2,98187,PASS,459021
