M,K,N,It1,Max,Status
512,512,512,439.55,409,PASS
512,512,1024,794.4,747,PASS
512,512,4096,3064.27,2713,PASS
512,512,8192,5618.5,5275,PASS
512,1024,512,,,FAIL
512,1024,1024,1537.72,1394,PASS
512,1024,4096,5482.1,5266,PASS
512,1024,8192,10940.3,10519,PASS
512,4096,512,2723.32,2684,PASS
512,4096,1024,5641.5,5307,PASS
512,4096,4096,21418.8,20794,PASS
512,4096,8192,41990.6,41524,PASS
512,6144,512,4147.12,3988,PASS
512,6144,1024,8266.7,7924,PASS
512,6144,4096,31807.5,31028,PASS
512,6144,8192,62522.2,61745,PASS
1024,512,512,746.9,740,PASS
1024,512,1024,1402.82,1373,PASS
1024,512,4096,5597.77,5257,PASS
1024,512,8192,11154.3,10500,PASS
1024,1024,512,1420.15,1406,PASS
1024,1024,1024,3013.07,2752,PASS
1024,1024,4096,11107,10417,PASS
1024,1024,8192,21501,20766,PASS
1024,4096,512,5754.88,5271,PASS
1024,4096,1024,11154.9,10610,PASS
1024,4096,4096,41973.3,41265,PASS
1024,4096,8192,82863.9,82114,PASS
1024,6144,512,8269.17,7898,PASS
1024,6144,1024,16378.1,15669,PASS
1024,6144,4096,62519.1,61753,PASS
1024,6144,8192,123956,123370,PASS
4096,512,512,2702,2676,PASS
4096,512,1024,5498.1,5340,PASS
4096,512,4096,21614.1,20801,PASS
4096,512,8192,42157,41582,PASS
4096,1024,512,5670.67,5331,PASS
4096,1024,1024,10885.1,10537,PASS
4096,1024,4096,41440.3,41095,PASS
4096,1024,8192,82442,82077,PASS
4096,4096,512,21451.8,20735,PASS
4096,4096,1024,41875.9,41190,PASS
4096,4096,4096,164837,164264,PASS
4096,4096,8192,328666,328014,PASS
4096,6144,512,31782.5,30991,PASS
4096,6144,1024,62442.2,61690,PASS
4096,6144,4096,246821,246181,PASS
4096,6144,8192,492337,491699,PASS
8192,512,512,5457.4,5275,PASS
8192,512,1024,11140,10477,PASS
8192,512,4096,42561.6,41929,PASS
8192,512,8192,83049,82238,PASS
8192,1024,512,10771.5,10404,PASS
8192,1024,1024,21075,20682,PASS
8192,1024,4096,82690.6,82094,PASS
8192,1024,8192,164431,164084,PASS
8192,4096,512,41738.2,41065,PASS
8192,4096,1024,82423.6,82058,PASS
8192,4096,4096,328138,327654,PASS
8192,4096,8192,655695,655314,PASS
8192,6144,512,62038.3,61699,PASS
8192,6144,1024,123511,123062,PASS
8192,6144,4096,491860,491365,PASS
8192,6144,8192,983037,982466,PASS
