M,K,N,It1,Status,shuffle_time
512,512,512,,FAIL,
512,512,1024,,FAIL,
512,512,2560,,FAIL,
512,512,4096,,FAIL,
512,1024,512,,FAIL,
512,1024,1024,,FAIL,
512,1024,2560,,FAIL,
512,1024,4096,,FAIL,
512,2560,512,,FAIL,
512,2560,1024,,FAIL,
512,2560,2560,,FAIL,
512,2560,4096,,FAIL,
512,4096,512,,FAIL,
512,4096,1024,,FAIL,
512,4096,2560,,FAIL,
512,4096,4096,,FAIL,
1024,512,512,,FAIL,
1024,512,1024,,FAIL,
1024,512,2560,,FAIL,
1024,512,4096,,FAIL,
1024,1024,512,,FAIL,
1024,1024,1024,,FAIL,
1024,1024,2560,,FAIL,
1024,1024,4096,,FAIL,
1024,2560,512,,FAIL,
1024,2560,1024,,FAIL,
1024,2560,2560,,FAIL,
1024,2560,4096,,FAIL,
1024,4096,512,,FAIL,
1024,4096,1024,,FAIL,
1024,4096,2560,,FAIL,
1024,4096,4096,,FAIL,
2560,512,512,,FAIL,
2560,512,1024,,FAIL,
2560,512,2560,,FAIL,
2560,512,4096,,FAIL,
2560,1024,512,,FAIL,
2560,1024,1024,,FAIL,
2560,1024,2560,,FAIL,
2560,1024,4096,,FAIL,
2560,2560,512,,FAIL,
2560,2560,1024,,FAIL,
2560,2560,2560,,FAIL,
2560,2560,4096,,FAIL,
2560,4096,512,,FAIL,
2560,4096,1024,,FAIL,
2560,4096,2560,,FAIL,
2560,4096,4096,,FAIL,
4096,512,512,,FAIL,
4096,512,1024,,FAIL,
4096,512,2560,,FAIL,
4096,512,4096,,FAIL,
4096,1024,512,,FAIL,
4096,1024,1024,,FAIL,
4096,1024,2560,,FAIL,
4096,1024,4096,,FAIL,
4096,2560,512,,FAIL,
4096,2560,1024,,FAIL,
4096,2560,2560,,FAIL,
4096,2560,4096,,FAIL,
4096,4096,512,,FAIL,
4096,4096,1024,,FAIL,
4096,4096,2560,,FAIL,
4096,4096,4096,,FAIL,
