M,K,N,It1,Status
256,256,256,1596,PASS
256,256,1280,1998,PASS
256,256,2304,1798,PASS
256,256,3328,2359,PASS
256,256,4352,2601,PASS
256,1280,256,1763,PASS
256,1280,1280,,FAIL
256,1280,2304,,FAIL
256,1280,3328,,FAIL
256,1280,4352,,FAIL
256,2304,256,2141,PASS
256,2304,1280,,FAIL
256,2304,2304,,FAIL
256,2304,3328,,FAIL
256,2304,4352,,FAIL
256,3328,256,2769,PASS
256,3328,1280,3231,PASS
256,3328,2304,4958,PASS
256,3328,3328,4372,PASS
256,3328,4352,5015,PASS
256,4352,256,1905.00,FAIL
256,4352,1280,3675,PASS
256,4352,2304,3827,PASS
256,4352,3328,5295,PASS
256,4352,4352,4716,PASS
1280,256,256,1744,PASS
1280,256,1280,1911,PASS
1280,256,2304,2271,PASS
1280,256,3328,3425,PASS
1280,256,4352,3671,PASS
1280,1280,256,,FAIL
1280,1280,1280,,FAIL
1280,1280,2304,,FAIL
1280,1280,3328,,FAIL
1280,1280,4352,,FAIL
1280,2304,256,,FAIL
1280,2304,1280,,FAIL
1280,2304,2304,,FAIL
1280,2304,3328,,FAIL
1280,2304,4352,,FAIL
1280,3328,256,2877,PASS
1280,3328,1280,5790,PASS
1280,3328,2304,9785,PASS
1280,3328,3328,11702,PASS
1280,3328,4352,13839,PASS
1280,4352,256,3345,PASS
1280,4352,1280,6992,PASS
1280,4352,2304,11061,PASS
1280,4352,3328,13990,FAIL
1280,4352,4352,17304,FAIL
2304,256,256,1753,PASS
2304,256,1280,2280,PASS
2304,256,2304,3260,PASS
2304,256,3328,3695,PASS
2304,256,4352,3933,PASS
2304,1280,256,,FAIL
2304,1280,1280,,FAIL
2304,1280,2304,,FAIL
2304,1280,3328,,FAIL
2304,1280,4352,,FAIL
2304,2304,256,,FAIL
2304,2304,1280,,FAIL
2304,2304,2304,,FAIL
2304,2304,3328,,FAIL
2304,2304,4352,,FAIL
2304,3328,256,3429,PASS
2304,3328,1280,8730,PASS
2304,3328,2304,14272,PASS
2304,3328,3328,20525,PASS
2304,3328,4352,23592,PASS
2304,4352,256,3953,PASS
2304,4352,1280,10391,PASS
2304,4352,2304,19895,PASS
2304,4352,3328,23772,PASS
2304,4352,4352,29833,PASS
3328,256,256,1893,PASS
3328,256,1280,3570,PASS
3328,256,2304,3536,PASS
3328,256,3328,3929,PASS
3328,256,4352,4484,PASS
3328,1280,256,,FAIL
3328,1280,1280,,FAIL
3328,1280,2304,,FAIL
3328,1280,3328,,FAIL
3328,1280,4352,,FAIL
3328,2304,256,,FAIL
3328,2304,1280,,FAIL
3328,2304,2304,,FAIL
3328,2304,3328,,FAIL
3328,2304,4352,,FAIL
3328,3328,256,4142,PASS
3328,3328,1280,11537,PASS
3328,3328,2304,20252,PASS
3328,3328,3328,25984,PASS
3328,3328,4352,33533,PASS
3328,4352,256,4272,PASS
3328,4352,1280,14871,FAIL
3328,4352,2304,24099,FAIL
3328,4352,3328,34767,PASS
3328,4352,4352,42033,FAIL
4352,256,256,2059,PASS
4352,256,1280,2895,PASS
4352,256,2304,3600,PASS
4352,256,3328,4856,PASS
4352,256,4352,5320,PASS
4352,1280,256,,FAIL
4352,1280,1280,,FAIL
4352,1280,2304,,FAIL
4352,1280,3328,,FAIL
4352,1280,4352,,FAIL
4352,2304,256,,FAIL
4352,2304,1280,,FAIL
4352,2304,2304,,FAIL
4352,2304,3328,,FAIL
4352,2304,4352,,FAIL
4352,3328,256,4771,PASS
4352,3328,1280,16273,PASS
4352,3328,2304,25492,PASS
4352,3328,3328,34499,PASS
4352,3328,4352,42859,PASS
4352,4352,256,5466,PASS
4352,4352,1280,18320,FAIL
4352,4352,2304,31093,PASS
4352,4352,3328,42985,PASS
4352,4352,4352,54880,PASS
