M,K,N,It1,Status
256,256,256,2714,PASS
256,256,1280,3351,PASS
256,256,2304,2995,PASS
256,256,3328,3257,PASS
256,256,4352,3202,PASS
256,1280,256,,FAIL
256,1280,1280,3953,PASS
256,1280,2304,4483,PASS
256,1280,3328,5076,PASS
256,1280,4352,5226,PASS
256,2304,256,2883,PASS
256,2304,1280,3777,PASS
256,2304,2304,4728,PASS
256,2304,3328,6455,PASS
256,2304,4352,6978,PASS
256,3328,256,4179,PASS
256,3328,1280,5157,PASS
256,3328,2304,7251,PASS
256,3328,3328,6457,PASS
256,3328,4352,8879,PASS
256,4352,256,3812,PASS
256,4352,1280,5246,PASS
256,4352,2304,7080,PASS
256,4352,3328,7951,PASS
256,4352,4352,9668,PASS
1280,256,256,2827,PASS
1280,256,1280,3256,PASS
1280,256,2304,4319,PASS
1280,256,3328,5063,PASS
1280,256,4352,4516,PASS
1280,1280,256,3883,PASS
1280,1280,1280,5401,PASS
1280,1280,2304,8894,PASS
1280,1280,3328,11044,PASS
1280,1280,4352,12911,PASS
1280,2304,256,4365,PASS
1280,2304,1280,8588,PASS
1280,2304,2304,12635,PASS
1280,2304,3328,16154,PASS
1280,2304,4352,19785,PASS
1280,3328,256,4589,PASS
1280,3328,1280,11048,PASS
1280,3328,2304,16894,PASS
1280,3328,3328,21839,PASS
1280,3328,4352,25858,PASS
1280,4352,256,5259,PASS
1280,4352,1280,13326,PASS
1280,4352,2304,19931,PASS
1280,4352,3328,26493,PASS
1280,4352,4352,30458,PASS
2304,256,256,3442,PASS
2304,256,1280,4617,PASS
2304,256,2304,4474,PASS
2304,256,3328,5153,PASS
2304,256,4352,6584,PASS
2304,1280,256,4563,PASS
2304,1280,1280,7426,PASS
2304,1280,2304,13327,PASS
2304,1280,3328,16478,PASS
2304,1280,4352,19944,PASS
2304,2304,256,4758,PASS
2304,2304,1280,12066,PASS
2304,2304,2304,21288,PASS
2304,2304,3328,23963,PASS
2304,2304,4352,32964,PASS
2304,3328,256,5341,PASS
2304,3328,1280,15871,PASS
2304,3328,2304,26157,PASS
2304,3328,3328,32144,PASS
2304,3328,4352,41753,PASS
2304,4352,256,5822,PASS
2304,4352,1280,19182,PASS
2304,4352,2304,31159,PASS
2304,4352,3328,42221,PASS
2304,4352,4352,53764,PASS
3328,256,256,3075,PASS
3328,256,1280,4887,PASS
3328,256,2304,5345,PASS
3328,256,3328,6964,PASS
3328,256,4352,7964,PASS
3328,1280,256,4322,PASS
3328,1280,1280,8969,PASS
3328,1280,2304,16347,PASS
3328,1280,3328,19889,PASS
3328,1280,4352,25572,PASS
3328,2304,256,5807,PASS
3328,2304,1280,15473,PASS
3328,2304,2304,24763,PASS
3328,2304,3328,32687,PASS
3328,2304,4352,40472,PASS
3328,3328,256,6147,PASS
3328,3328,1280,21256,PASS
3328,3328,2304,33198,PASS
3328,3328,3328,45603,PASS
3328,3328,4352,55655,PASS
3328,4352,256,7478,PASS
3328,4352,1280,25004,PASS
3328,4352,2304,41144,PASS
3328,4352,3328,56468,PASS
3328,4352,4352,74474,PASS
4352,256,256,3270,PASS
4352,256,1280,5469,PASS
4352,256,2304,5977,PASS
4352,256,3328,7520,PASS
4352,256,4352,8733,PASS
4352,1280,256,5059,PASS
4352,1280,1280,11464,PASS
4352,1280,2304,20102,PASS
4352,1280,3328,25745,PASS
4352,1280,4352,32018,PASS
4352,2304,256,5792,PASS
4352,2304,1280,19686,PASS
4352,2304,2304,31947,PASS
4352,2304,3328,41155,PASS
4352,2304,4352,50119,PASS
4352,3328,256,6885,PASS
4352,3328,1280,24807,PASS
4352,3328,2304,41059,PASS
4352,3328,3328,55872,PASS
4352,3328,4352,70803,PASS
4352,4352,256,7967,PASS
4352,4352,1280,29924,PASS
4352,4352,2304,52079,PASS
4352,4352,3328,74002,PASS
4352,4352,4352,92040,PASS
