M,K,N,It1,Status
256,256,256,556.6,PASS
256,256,1280,921.25,PASS
256,256,2304,1310.2,PASS
256,256,3328,1765.8,PASS
256,256,4352,2035.25,PASS
256,1280,256,960.1,PASS
256,1280,1280,2429.9,PASS
256,1280,2304,4419.4,PASS
256,1280,3328,1854.7,PASS
256,1280,4352,2518.1,PASS
256,2304,256,1323.25,FAIL
256,2304,1280,4315.50,FAIL
256,2304,2304,2463,FAIL
256,2304,3328,3238.6,PASS
256,2304,4352,3723.6,PASS
256,3328,256,1804.00,FAIL
256,3328,1280,1951,FAIL
256,3328,2304,3084,FAIL
256,3328,3328,4074,FAIL
256,3328,4352,5181,FAIL
256,4352,256,2006.25,FAIL
256,4352,1280,2504,FAIL
256,4352,2304,3596,FAIL
256,4352,3328,5226,FAIL
256,4352,4352,9294,FAIL
1280,256,256,864,PASS
1280,256,1280,2395.9,PASS
1280,256,2304,4419.3,PASS
1280,256,3328,1487.3,PASS
1280,256,4352,2305.65,PASS
1280,1280,256,2489.5,PASS
1280,1280,1280,3001.05,PASS
1280,1280,2304,4792,PASS
1280,1280,3328,7017.7,PASS
1280,1280,4352,8802.15,PASS
1280,2304,256,4651.45,FAIL
1280,2304,1280,5389,FAIL
1280,2304,2304,8265,FAIL
1280,2304,3328,11715,FAIL
1280,2304,4352,14897,FAIL
1280,3328,256,1893,FAIL
1280,3328,1280,7527,FAIL
1280,3328,2304,11214,FAIL
1280,3328,3328,15991,FAIL
1280,3328,4352,21623,FAIL
1280,4352,256,2393,FAIL
1280,4352,1280,9091,FAIL
1280,4352,2304,14863,FAIL
1280,4352,3328,21008,FAIL
1280,4352,4352,30007,FAIL
2304,256,256,1414.85,PASS
2304,256,1280,4306.55,PASS
2304,256,2304,2058.4,PASS
2304,256,3328,2639.65,PASS
2304,256,4352,3134.5,PASS
2304,1280,256,4310.75,PASS
2304,1280,1280,4545.1,PASS
2304,1280,2304,7977.8,PASS
2304,1280,3328,11514.9,PASS
2304,1280,4352,14489.5,PASS
2304,2304,256,2445,FAIL
2304,2304,1280,8182,FAIL
2304,2304,2304,14681,FAIL
2304,2304,3328,19733,FAIL
2304,2304,4352,25840,FAIL
2304,3328,256,2994,FAIL
2304,3328,1280,10892,FAIL
2304,3328,2304,20660,FAIL
2304,3328,3328,28198,FAIL
2304,3328,4352,37329,FAIL
2304,4352,256,3570,FAIL
2304,4352,1280,13712,FAIL
2304,4352,2304,27380,FAIL
2304,4352,3328,36332,FAIL
2304,4352,4352,49807,FAIL
3328,256,256,1722.6,PASS
3328,256,1280,1626,PASS
3328,256,2304,2785.3,PASS
3328,256,3328,3520.5,PASS
3328,256,4352,4321.25,PASS
3328,1280,256,1598.85,PASS
3328,1280,1280,6840.9,PASS
3328,1280,2304,11117.3,PASS
3328,1280,3328,16123.8,PASS
3328,1280,4352,20573.2,PASS
3328,2304,256,2654,FAIL
3328,2304,1280,10401,FAIL
3328,2304,2304,18943,FAIL
3328,2304,3328,27715,FAIL
3328,2304,4352,36855,FAIL
3328,3328,256,3542,FAIL
3328,3328,1280,15332,FAIL
3328,3328,2304,27754,FAIL
3328,3328,3328,42090,FAIL
3328,3328,4352,52657,FAIL
3328,4352,256,4782,FAIL
3328,4352,1280,19565,FAIL
3328,4352,2304,35575,FAIL
3328,4352,3328,53385,FAIL
3328,4352,4352,69874,FAIL
4352,256,256,2053.55,PASS
4352,256,1280,2091.65,PASS
4352,256,2304,3257.4,PASS
4352,256,3328,4138.65,PASS
4352,256,4352,5667.55,PASS
4352,1280,256,2076.75,PASS
4352,1280,1280,7762.25,PASS
4352,1280,2304,14293.7,PASS
4352,1280,3328,20587.8,PASS
4352,1280,4352,27919.4,PASS
4352,2304,256,3206,FAIL
4352,2304,1280,13654,FAIL
4352,2304,2304,24871,FAIL
4352,2304,3328,35869,FAIL
4352,2304,4352,50224,FAIL
4352,3328,256,4781,FAIL
4352,3328,1280,19712,FAIL
4352,3328,2304,35255,FAIL
4352,3328,3328,50970,FAIL
4352,3328,4352,70800,FAIL
4352,4352,256,8081,FAIL
4352,4352,1280,27742,FAIL
4352,4352,2304,48235,FAIL
4352,4352,3328,68430,FAIL
4352,4352,4352,92617,FAIL
