M,K,N,It1,Status
256,256,256,549.65,PASS
256,256,1280,1087.25,PASS
256,256,2304,1349.75,PASS
256,256,3328,1487.6,PASS
256,256,4352,1921.6,PASS
256,1280,256,,FAIL
256,1280,1280,2298,PASS
256,1280,2304,4103.15,PASS
256,1280,3328,1694.15,PASS
256,1280,4352,2130.45,PASS
256,2304,256,1221.3,PASS
256,2304,1280,4232.35,PASS
256,2304,2304,2133.05,PASS
256,2304,3328,3019.65,PASS
256,2304,4352,3891,PASS
256,3328,256,1551.85,PASS
256,3328,1280,1814.4,PASS
256,3328,2304,3391.8,PASS
256,3328,3328,4256.1,PASS
256,3328,4352,5400.3,PASS
256,4352,256,1882.4,PASS
256,4352,1280,2512.65,PASS
256,4352,2304,3697.1,PASS
256,4352,3328,5368.25,PASS
256,4352,4352,8960.25,PASS
1280,256,256,915.45,PASS
1280,256,1280,2504.6,PASS
1280,256,2304,4310.9,PASS
1280,256,3328,1841.95,PASS
1280,256,4352,2270.3,PASS
1280,1280,256,2183.8,PASS
1280,1280,1280,2875.1,PASS
1280,1280,2304,5160.3,PASS
1280,1280,3328,6846.65,PASS
1280,1280,4352,8645.2,PASS
1280,2304,256,4014.7,PASS
1280,2304,1280,4985.9,PASS
1280,2304,2304,8325.8,PASS
1280,2304,3328,11483.7,PASS
1280,2304,4352,15000.5,PASS
1280,3328,256,1768.8,PASS
1280,3328,1280,7684.1,PASS
1280,3328,2304,11417.8,PASS
1280,3328,3328,16450.4,PASS
1280,3328,4352,21643.9,PASS
1280,4352,256,2269.9,PASS
1280,4352,1280,9071.15,PASS
1280,4352,2304,14510,PASS
1280,4352,3328,21089.8,PASS
1280,4352,4352,30004.3,PASS
2304,256,256,1297.3,PASS
2304,256,1280,4281.5,PASS
2304,256,2304,2434.35,PASS
2304,256,3328,3092.5,PASS
2304,256,4352,3823.55,PASS
2304,1280,256,4186.75,PASS
2304,1280,1280,4513.45,PASS
2304,1280,2304,8062.5,PASS
2304,1280,3328,11717.9,PASS
2304,1280,4352,15455.8,PASS
2304,2304,256,1893.8,PASS
2304,2304,1280,8172.9,PASS
2304,2304,2304,14073.8,PASS
2304,2304,3328,20119.9,PASS
2304,2304,4352,26428,PASS
2304,3328,256,2666.55,PASS
2304,3328,1280,10721.6,PASS
2304,3328,2304,19683.9,PASS
2304,3328,3328,28311.4,PASS
2304,3328,4352,37294.4,PASS
2304,4352,256,3478.3,PASS
2304,4352,1280,14038.5,PASS
2304,4352,2304,25624.8,PASS
2304,4352,3328,36449.7,PASS
2304,4352,4352,50629.9,PASS
3328,256,256,1581.6,PASS
3328,256,1280,1780.05,PASS
3328,256,2304,2831.95,PASS
3328,256,3328,3926.05,PASS
3328,256,4352,4894.25,PASS
3328,1280,256,1518.7,PASS
3328,1280,1280,6564.8,PASS
3328,1280,2304,11587.5,PASS
3328,1280,3328,17719.2,PASS
3328,1280,4352,21282.6,PASS
3328,2304,256,2992.45,PASS
3328,2304,1280,10801.2,PASS
3328,2304,2304,19881.7,PASS
3328,2304,3328,29627.6,PASS
3328,2304,4352,36858.4,PASS
3328,3328,256,3606.4,PASS
3328,3328,1280,15409,PASS
3328,3328,2304,28276.2,PASS
3328,3328,3328,42541.9,PASS
3328,3328,4352,53716,PASS
3328,4352,256,4562.5,PASS
3328,4352,1280,19511.9,PASS
3328,4352,2304,36169.9,PASS
3328,4352,3328,54229.9,PASS
3328,4352,4352,70751.2,PASS
4352,256,256,1857.35,PASS
4352,256,1280,2694.55,PASS
4352,256,2304,3298.35,PASS
4352,256,3328,4574.3,PASS
4352,256,4352,6571.55,PASS
4352,1280,256,2220.55,PASS
4352,1280,1280,8072.6,PASS
4352,1280,2304,14888.9,PASS
4352,1280,3328,21480.3,PASS
4352,1280,4352,29185.1,PASS
4352,2304,256,3305.95,PASS
4352,2304,1280,14092.3,PASS
4352,2304,2304,25806.8,PASS
4352,2304,3328,36918.1,PASS
4352,2304,4352,51335.4,PASS
4352,3328,256,4623.45,PASS
4352,3328,1280,20042.7,PASS
4352,3328,2304,36155.6,PASS
4352,3328,3328,52004.4,PASS
4352,3328,4352,70946.4,PASS
4352,4352,256,7913.05,PASS
4352,4352,1280,27662.8,PASS
4352,4352,2304,48432.1,PASS
4352,4352,3328,69675,PASS
4352,4352,4352,91750.6,PASS
