M,K,N,It1,Status
256,256,256,620.1,PASS
256,256,1280,1421.4,PASS
256,256,2304,1951.55,PASS
256,256,3328,2336.5,PASS
256,256,4352,2916.25,PASS
256,1280,256,1253.15,PASS
256,1280,1280,,FAIL
256,1280,2304,,FAIL
256,1280,3328,,FAIL
256,1280,4352,,FAIL
256,2304,256,1941.55,PASS
256,2304,1280,,FAIL
256,2304,2304,,FAIL
256,2304,3328,,FAIL
256,2304,4352,,FAIL
256,3328,256,2669.5,PASS
256,3328,1280,6859.45,PASS
256,3328,2304,11836.5,PASS
256,3328,3328,16825.2,PASS
256,3328,4352,21738.1,PASS
256,4352,256,2985.95,PASS
256,4352,1280,8738.85,PASS
256,4352,2304,15025.2,PASS
256,4352,3328,21563.5,PASS
256,4352,4352,29338.6,PASS
1280,256,256,1299.95,PASS
1280,256,1280,3778.6,PASS
1280,256,2304,6468.25,PASS
1280,256,3328,6928.5,PASS
1280,256,4352,8918.45,PASS
1280,1280,256,,FAIL
1280,1280,1280,,FAIL
1280,1280,2304,,FAIL
1280,1280,3328,,FAIL
1280,1280,4352,,FAIL
1280,2304,256,,FAIL
1280,2304,1280,,FAIL
1280,2304,2304,,FAIL
1280,2304,3328,,FAIL
1280,2304,4352,,FAIL
1280,3328,256,6799.3,PASS
1280,3328,1280,31542.2,PASS
1280,3328,2304,54526.9,PASS
1280,3328,3328,78121.8,PASS
1280,3328,4352,102032,PASS
1280,4352,256,8658.45,PASS
1280,4352,1280,40763.7,PASS
1280,4352,2304,71240.5,PASS
1280,4352,3328,102273,PASS
1280,4352,4352,134498,PASS
2304,256,256,1941.9,PASS
2304,256,1280,6553.15,PASS
2304,256,2304,8377.5,PASS
2304,256,3328,11807.9,PASS
2304,256,4352,15284.8,PASS
2304,1280,256,,FAIL
2304,1280,1280,,FAIL
2304,1280,2304,,FAIL
2304,1280,3328,,FAIL
2304,1280,4352,,FAIL
2304,2304,256,,FAIL
2304,2304,1280,,FAIL
2304,2304,2304,,FAIL
2304,2304,3328,,FAIL
2304,2304,4352,,FAIL
2304,3328,256,11702.6,PASS
2304,3328,1280,54689.2,PASS
2304,3328,2304,98241.5,PASS
2304,3328,3328,140067,PASS
2304,3328,4352,182670,PASS
2304,4352,256,15098.5,PASS
2304,4352,1280,70979.5,PASS
2304,4352,2304,128242,PASS
2304,4352,3328,182480,PASS
2304,4352,4352,239477,PASS
3328,256,256,2518.35,PASS
3328,256,1280,6883.4,PASS
3328,256,2304,11658.7,PASS
3328,256,3328,16301,PASS
3328,256,4352,21065.1,PASS
3328,1280,256,,FAIL
3328,1280,1280,,FAIL
3328,1280,2304,,FAIL
3328,1280,3328,,FAIL
3328,1280,4352,,FAIL
3328,2304,256,,FAIL
3328,2304,1280,,FAIL
3328,2304,2304,,FAIL
3328,2304,3328,,FAIL
3328,2304,4352,,FAIL
3328,3328,256,16385.1,PASS
3328,3328,1280,78065.3,PASS
3328,3328,2304,139682,PASS
3328,3328,3328,202629,PASS
3328,3328,4352,262925,PASS
3328,4352,256,21607.7,PASS
3328,4352,1280,102043,PASS
3328,4352,2304,182521,PASS
3328,4352,3328,264182,PASS
3328,4352,4352,344524,PASS
4352,256,256,2929.75,PASS
4352,256,1280,9148.25,PASS
4352,256,2304,15059.2,PASS
4352,256,3328,21284.8,PASS
4352,256,4352,27326.8,PASS
4352,1280,256,,FAIL
4352,1280,1280,,FAIL
4352,1280,2304,,FAIL
4352,1280,3328,,FAIL
4352,1280,4352,,FAIL
4352,2304,256,,FAIL
4352,2304,1280,,FAIL
4352,2304,2304,,FAIL
4352,2304,3328,,FAIL
4352,2304,4352,,FAIL
4352,3328,256,21568.8,PASS
4352,3328,1280,101924,PASS
4352,3328,2304,182549,PASS
4352,3328,3328,262468,PASS
4352,3328,4352,344309,PASS
4352,4352,256,29285.8,PASS
4352,4352,1280,134396,PASS
4352,4352,2304,239346,PASS
4352,4352,3328,344428,PASS
4352,4352,4352,449368,PASS
