M,K,N,It1,Status
512,512,512,1402.7,PASS
512,512,1024,2299,PASS
512,512,2560,4670,PASS
512,512,4096,6420.95,PASS
512,1024,512,2261.8,PASS
512,1024,1024,3738.85,PASS
512,1024,2560,4389.05,PASS
512,1024,4096,6525.35,PASS
512,2560,512,4907.15,FAIL
512,2560,1024,4337.3,PASS
512,2560,2560,10323.4,PASS
512,2560,4096,15553,FAIL
512,4096,512,6350.55,FAIL
512,4096,1024,6763,FAIL
512,4096,2560,15642,FAIL
512,4096,4096,26686,FAIL
1024,512,512,2504.9,PASS
1024,512,1024,3406,PASS
1024,512,2560,4500.5,PASS
1024,512,4096,6592.2,PASS
1024,1024,512,3572.1,PASS
1024,1024,1024,6413.15,PASS
1024,1024,2560,8239.65,PASS
1024,1024,4096,12320.4,PASS
1024,2560,512,4499.85,PASS
1024,2560,1024,8726.85,PASS
1024,2560,2560,18984.1,PASS
1024,2560,4096,30661.8,PASS
1024,4096,512,7132,FAIL
1024,4096,1024,13574,FAIL
1024,4096,2560,30100,FAIL
1024,4096,4096,49464,FAIL
2560,512,512,4559.65,PASS
2560,512,1024,4143.15,PASS
2560,512,2560,10002.8,PASS
2560,512,4096,15465.6,PASS
2560,1024,512,4389.3,PASS
2560,1024,1024,8105.2,PASS
2560,1024,2560,19154.2,PASS
2560,1024,4096,30058.2,PASS
2560,2560,512,10366.2,PASS
2560,2560,1024,19629.4,PASS
2560,2560,2560,47996.5,PASS
2560,2560,4096,73299,PASS
2560,4096,512,15697,FAIL
2560,4096,1024,30388,FAIL
2560,4096,2560,75591,FAIL
2560,4096,4096,118468,FAIL
4096,512,512,6375.4,PASS
4096,512,1024,6520.7,PASS
4096,512,2560,15494,PASS
4096,512,4096,24815.7,PASS
4096,1024,512,6624.5,PASS
4096,1024,1024,12377.7,PASS
4096,1024,2560,29884.4,PASS
4096,1024,4096,48426.3,PASS
4096,2560,512,15757,FAIL
4096,2560,1024,30289,PASS
4096,2560,2560,73306.9,PASS
4096,2560,4096,118625,PASS
4096,4096,512,26353,FAIL
4096,4096,1024,49526,FAIL
4096,4096,2560,118634,FAIL
4096,4096,4096,187083,FAIL
