M,K,N,It1,Status
512,512,512,1001.75,PASS
512,512,1024,1437.35,PASS
512,512,2560,3429.05,PASS
512,512,4096,4440.6,PASS
512,1024,512,1642.2,PASS
512,1024,1024,2355.75,PASS
512,1024,2560,3120.6,PASS
512,1024,4096,4699.3,PASS
512,2560,512,3334.35,FAIL
512,2560,1024,2890,FAIL
512,2560,2560,7758,FAIL
512,2560,4096,11634,FAIL
512,4096,512,4145.10,FAIL
512,4096,1024,4520,FAIL
512,4096,2560,11361,FAIL
512,4096,4096,19407,FAIL
1024,512,512,1561.9,PASS
1024,512,1024,2443.7,PASS
1024,512,2560,2786.55,PASS
1024,512,4096,4276.35,PASS
1024,1024,512,2229.35,PASS
1024,1024,1024,3851.15,PASS
1024,1024,2560,6229.2,PASS
1024,1024,4096,8985.95,PASS
1024,2560,512,2498,FAIL
1024,2560,1024,5597,FAIL
1024,2560,2560,14035,FAIL
1024,2560,4096,22760,FAIL
1024,4096,512,4221,FAIL
1024,4096,1024,8663,FAIL
1024,4096,2560,23193,FAIL
1024,4096,4096,36760,FAIL
2560,512,512,2879.95,PASS
2560,512,1024,2350.15,PASS
2560,512,2560,5514.65,PASS
2560,512,4096,9865.65,PASS
2560,1024,512,2156.65,PASS
2560,1024,1024,4007.7,PASS
2560,1024,2560,14052.9,PASS
2560,1024,4096,22513.3,PASS
2560,2560,512,6327,FAIL
2560,2560,1024,12446,FAIL
2560,2560,2560,35725,FAIL
2560,2560,4096,54366,FAIL
2560,4096,512,9208,FAIL
2560,4096,1024,18936,FAIL
2560,4096,2560,55264,FAIL
2560,4096,4096,89069,FAIL
4096,512,512,4019.05,PASS
4096,512,1024,3359.1,PASS
4096,512,2560,8902.95,PASS
4096,512,4096,15772.3,PASS
4096,1024,512,3421.35,PASS
4096,1024,1024,6520.7,PASS
4096,1024,2560,21792.9,PASS
4096,1024,4096,35943.6,PASS
4096,2560,512,8899,FAIL
4096,2560,1024,18910,FAIL
4096,2560,2560,54529,FAIL
4096,2560,4096,87416,FAIL
4096,4096,512,15319,FAIL
4096,4096,1024,33285,FAIL
4096,4096,2560,87154,FAIL
4096,4096,4096,136660,FAIL
