M,K,N,It1,Status
512,512,512,1082.15,PASS
512,512,1024,1846.35,PASS
512,512,2560,3938.95,PASS
512,512,4096,5067.35,PASS
512,1024,512,2073.35,PASS
512,1024,1024,3380.85,PASS
512,1024,2560,1964.95,PASS
512,1024,4096,2931.85,PASS
512,2560,512,4104.35,PASS
512,2560,1024,2128.75,PASS
512,2560,2560,4683.4,PASS
512,2560,4096,7153.3,PASS
512,4096,512,5175.5,PASS
512,4096,1024,3008.95,PASS
512,4096,2560,6988.95,PASS
512,4096,4096,13071.5,PASS
1024,512,512,2159.8,PASS
1024,512,1024,3058.25,PASS
1024,512,2560,2007.5,PASS
1024,512,4096,2990.3,PASS
1024,1024,512,2776.6,PASS
1024,1024,1024,4905,PASS
1024,1024,2560,3945.35,PASS
1024,1024,4096,5816.8,PASS
1024,2560,512,2231.3,PASS
1024,2560,1024,4201,PASS
1024,2560,2560,8364.1,PASS
1024,2560,4096,13211.2,PASS
1024,4096,512,2928.1,PASS
1024,4096,1024,6452.2,PASS
1024,4096,2560,12829,PASS
1024,4096,4096,23427.6,PASS
2560,512,512,4136.95,PASS
2560,512,1024,1921.4,PASS
2560,512,2560,4080.05,PASS
2560,512,4096,6799.9,PASS
2560,1024,512,1709,PASS
2560,1024,1024,3123.8,PASS
2560,1024,2560,8429.6,PASS
2560,1024,4096,12851.3,PASS
2560,2560,512,4537.75,PASS
2560,2560,1024,7844.55,PASS
2560,2560,2560,19368.4,PASS
2560,2560,4096,31420.2,PASS
2560,4096,512,6253.6,PASS
2560,4096,1024,11602.8,PASS
2560,4096,2560,29992.5,PASS
2560,4096,4096,51222.4,PASS
4096,512,512,5102.3,PASS
4096,512,1024,3067.7,PASS
4096,512,2560,6360.15,PASS
4096,512,4096,10706.8,PASS
4096,1024,512,2751.1,PASS
4096,1024,1024,4616.05,PASS
4096,1024,2560,11958.3,PASS
4096,1024,4096,21300.9,PASS
4096,2560,512,6175,PASS
4096,2560,1024,12194.8,PASS
4096,2560,2560,30345.3,PASS
4096,2560,4096,52052,PASS
4096,4096,512,12213.7,PASS
4096,4096,1024,21668.9,PASS
4096,4096,2560,49684.6,PASS
4096,4096,4096,79190.4,PASS
