M,K,N,It1,Status
512,512,512,1154.75,PASS
512,512,1024,1847.3,PASS
512,512,2560,3476.7,PASS
512,512,4096,4712.4,PASS
512,1024,512,1682.4,PASS
512,1024,1024,2815.55,PASS
512,1024,2560,2373.75,PASS
512,1024,4096,3349.1,PASS
512,2560,512,3538.25,PASS
512,2560,1024,2412.55,PASS
512,2560,2560,5148.7,PASS
512,2560,4096,7194.6,PASS
512,4096,512,4617.9,PASS
512,4096,1024,2944.6,PASS
512,4096,2560,6986.3,PASS
512,4096,4096,13077.6,PASS
1024,512,512,1736.25,PASS
1024,512,1024,2551,PASS
1024,512,2560,2064,PASS
1024,512,4096,3065.2,PASS
1024,1024,512,2522.45,PASS
1024,1024,1024,4503.2,PASS
1024,1024,2560,3774,PASS
1024,1024,4096,5349.6,PASS
1024,2560,512,2074.4,PASS
1024,2560,1024,4126.25,PASS
1024,2560,2560,8443.4,PASS
1024,2560,4096,13330,PASS
1024,4096,512,3162.65,PASS
1024,4096,1024,6441.1,PASS
1024,4096,2560,13189.1,PASS
1024,4096,4096,22908.7,PASS
2560,512,512,3451.35,PASS
2560,512,1024,1822.7,PASS
2560,512,2560,3987.5,PASS
2560,512,4096,6686.5,PASS
2560,1024,512,1898.7,PASS
2560,1024,1024,3463.35,PASS
2560,1024,2560,8572.5,PASS
2560,1024,4096,12974.2,PASS
2560,2560,512,4322.95,PASS
2560,2560,1024,7812.95,PASS
2560,2560,2560,19666,PASS
2560,2560,4096,31198.7,PASS
2560,4096,512,6686.2,PASS
2560,4096,1024,11520.4,PASS
2560,4096,2560,30458.7,PASS
2560,4096,4096,50953.1,PASS
4096,512,512,4418.6,PASS
4096,512,1024,2933.5,PASS
4096,512,2560,6228.45,PASS
4096,512,4096,10728.7,PASS
4096,1024,512,2771.75,PASS
4096,1024,1024,4815.75,PASS
4096,1024,2560,12602.8,PASS
4096,1024,4096,20801.2,PASS
4096,2560,512,5942.4,PASS
4096,2560,1024,11742,PASS
4096,2560,2560,30385.1,PASS
4096,2560,4096,52492.2,PASS
4096,4096,512,10874.5,PASS
4096,4096,1024,19954.8,PASS
4096,4096,2560,49773.5,PASS
4096,4096,4096,79152.1,PASS
