M,K,N,It1,Status,shuffle_time
512,512,512,721.15,PASS,4573.8
512,512,1024,1043.5,PASS,5869.3
512,512,2560,705.7,PASS,11666.9
512,512,4096,936.55,PASS,17858
512,1024,512,1003,PASS,6022.7
512,1024,1024,1524.6,PASS,9146.25
512,1024,2560,1098.2,PASS,18942.4
512,1024,4096,1486.85,PASS,29069.7
512,2560,512,1663.00,FAIL,12116.05
512,2560,1024,2952.80,FAIL,19076.25
512,2560,2560,2440.2,PASS,42980.6
512,2560,4096,5570.6,PASS,62406.6
512,4096,512,2358.65,FAIL,19161.40
512,4096,1024,3378.50,FAIL,30235.85
512,4096,2560,5543,FAIL,62813
512,4096,4096,6385,FAIL,95909
1024,512,512,932,PASS,5591
1024,512,1024,1442.35,PASS,9134.35
1024,512,2560,887.05,PASS,19550.9
1024,512,4096,1523.6,PASS,28245.7
1024,1024,512,1460.65,PASS,9154.1
1024,1024,1024,2211.9,PASS,13263.2
1024,1024,2560,1553.15,PASS,26936
1024,1024,4096,2282.65,PASS,39398.4
1024,2560,512,2757.85,FAIL,19561.65
1024,2560,1024,5128.55,FAIL,27713.00
1024,2560,2560,3290,PASS,52083.9
1024,2560,4096,6811.65,PASS,77678.2
1024,4096,512,3464.05,FAIL,29899.80
1024,4096,1024,5773.85,FAIL,40365.25
1024,4096,2560,6875,FAIL,76990
1024,4096,4096,8446,FAIL,113041
2560,512,512,861.5,PASS,12056
2560,512,1024,1451.25,PASS,18344.7
2560,512,2560,2092.55,PASS,37561.9
2560,512,4096,2371.1,PASS,58632.4
2560,1024,512,1930.15,PASS,19206.2
2560,1024,1024,1918.8,PASS,26059.3
2560,1024,2560,2713.15,PASS,50534.6
2560,1024,4096,3914.4,PASS,82257.4
2560,2560,512,2587.75,PASS,42053.2
2560,2560,1024,3283,PASS,51492.7
2560,2560,2560,8331.6,PASS,88194
2560,2560,4096,10566,PASS,121420
2560,4096,512,5700,FAIL,62506
2560,4096,1024,6863,FAIL,77832
2560,4096,2560,10737,FAIL,123999
2560,4096,4096,15059,FAIL,169337
4096,512,512,1040.45,PASS,18371.7
4096,512,1024,1403.4,PASS,28065.8
4096,512,2560,2671.05,PASS,60861.6
4096,512,4096,3497,PASS,89008.5
4096,1024,512,2147.35,PASS,29124.1
4096,1024,1024,2619,PASS,40278.9
4096,1024,2560,4485.1,PASS,73976.4
4096,1024,4096,5998.1,PASS,107223
4096,2560,512,5703.85,PASS,63261.8
4096,2560,1024,7170.75,PASS,79061.9
4096,2560,2560,10725.2,PASS,122641
4096,2560,4096,14454.3,PASS,170865
4096,4096,512,6479,FAIL,95564
4096,4096,1024,8669,FAIL,115244
4096,4096,2560,14879,FAIL,168023
4096,4096,4096,21298,FAIL,228220
