M,K,N,It1,Max,Status,shuffle_time
512,512,512,731.2,169,PASS,3216.9
512,512,1024,1026.6,193,PASS,5740.6
512,512,4096,947.7,436,PASS,17789
512,512,8192,1887.45,813,PASS,35477.2
512,1024,512,1027.6,185,PASS,5948.77
512,1024,1024,1508.12,242,PASS,9371.08
512,1024,4096,1598.47,619,PASS,29014.2
512,1024,8192,4673.4,1457,PASS,57575.4
512,4096,512,2507.57,373.00,FAIL,19147.00
512,4096,1024,3552.32,617.00,FAIL,29787.75
512,4096,4096,6522,2496,FAIL,96158
512,4096,8192,8650,4630,FAIL,182233
512,8192,512,3813.62,876.00,FAIL,39133.15
512,8192,1024,,,FAIL,
512,8192,4096,,,FAIL,
512,8192,8192,,,FAIL,
1024,512,512,1029.4,188,PASS,5524.5
1024,512,1024,1502.78,252,PASS,9124.55
1024,512,4096,1305,710,PASS,27480.7
1024,512,8192,2829.73,1787,PASS,53211.1
1024,1024,512,1546.2,251,PASS,9396.92
1024,1024,1024,2282.07,364,PASS,15180.4
1024,1024,4096,2804.18,1156,PASS,38535.6
1024,1024,8192,5825.33,2222,PASS,78534.7
1024,4096,512,3680.20,615.00,FAIL,30031.40
1024,4096,1024,5715.48,1134.00,FAIL,40043.68
1024,4096,4096,8546,6063,FAIL,113330
1024,4096,8192,12908,9355,FAIL,211909
1024,8192,512,6080.15,1528.00,FAIL,62545.70
1024,8192,1024,,,FAIL,
1024,8192,4096,,,FAIL,
1024,8192,8192,,,FAIL,
4096,512,512,1016.2,571,PASS,18503.2
4096,512,1024,1669.82,763,PASS,28056.2
4096,512,4096,3481.62,2540,PASS,88746.8
4096,512,8192,7068.75,5662,PASS,171073
4096,1024,512,2012.88,765,PASS,29621.9
4096,1024,1024,2475.7,1524,PASS,39133.1
4096,1024,4096,5968.55,4572,PASS,107027
4096,1024,8192,12931.1,9029,PASS,202444
4096,4096,512,6619,2574,FAIL,97279
4096,4096,1024,8640,4374,FAIL,113155
4096,4096,4096,21634,17746,FAIL,225913
4096,4096,8192,38793,34559,FAIL,381786
4096,8192,512,10400,6173,FAIL,181587
4096,8192,1024,,,FAIL,
4096,8192,4096,,,FAIL,
4096,8192,8192,,,FAIL,
8192,512,512,2485.88,988,PASS,35123.2
8192,512,1024,2704.38,1443,PASS,54818.4
8192,512,4096,6155.2,5108,PASS,172749
8192,512,8192,15328.4,11468,PASS,330596
8192,1024,512,4700.55,1474,PASS,57760.2
8192,1024,1024,5968.27,2731,PASS,78726.6
8192,1024,4096,12790.2,8881,PASS,204294
8192,1024,8192,21850.1,17830,PASS,372209
8192,4096,512,8849,4812,FAIL,183144
8192,4096,1024,12959,8875,FAIL,209857
8192,4096,4096,37995,34548,FAIL,380988
8192,4096,8192,71842,67866,FAIL,607374
8192,8192,512,17021,13287,FAIL,349606
8192,8192,1024,,,FAIL,
8192,8192,4096,,,FAIL,
8192,8192,8192,,,FAIL,
