M,K,N,It1,Status
512,512,512,1397.9,PASS
512,512,1024,2289.25,PASS
512,512,2560,4703.4,PASS
512,512,4096,6400.9,PASS
512,1024,512,,FAIL
512,1024,1024,3751.75,PASS
512,1024,2560,3726.45,PASS
512,1024,4096,5779.1,PASS
512,2560,512,4760.65,PASS
512,2560,1024,3937.95,PASS
512,2560,2560,9267.55,PASS
512,2560,4096,14364.2,PASS
512,4096,512,6351.65,PASS
512,4096,1024,6081.55,PASS
512,4096,2560,13845.5,PASS
512,4096,4096,24731.9,PASS
1024,512,512,2286.35,PASS
1024,512,1024,3565.75,PASS
1024,512,2560,3777.6,PASS
1024,512,4096,5676.05,PASS
1024,1024,512,3585.9,PASS
1024,1024,1024,6344.5,PASS
1024,1024,2560,7271.55,PASS
1024,1024,4096,10818.3,PASS
1024,2560,512,3980.7,PASS
1024,2560,1024,7834.4,PASS
1024,2560,2560,17384.3,PASS
1024,2560,4096,27161.9,PASS
1024,4096,512,6520.6,PASS
1024,4096,1024,12493,PASS
1024,4096,2560,27189.1,PASS
1024,4096,4096,45426.4,PASS
2560,512,512,4710.35,PASS
2560,512,1024,3672.65,PASS
2560,512,2560,9215.85,PASS
2560,512,4096,13843.8,PASS
2560,1024,512,3685.5,PASS
2560,1024,1024,7390.85,PASS
2560,1024,2560,16850.8,PASS
2560,1024,4096,26773.5,PASS
2560,2560,512,8872.95,PASS
2560,2560,1024,17128.2,PASS
2560,2560,2560,43187.4,PASS
2560,2560,4096,65935,PASS
2560,4096,512,14306,PASS
2560,4096,1024,27524.1,PASS
2560,4096,2560,68317.1,PASS
2560,4096,4096,106805,PASS
4096,512,512,6325.6,PASS
4096,512,1024,6001.6,PASS
4096,512,2560,14043.2,PASS
4096,512,4096,22199.1,PASS
4096,1024,512,6013.95,PASS
4096,1024,1024,11236.7,PASS
4096,1024,2560,27319.2,PASS
4096,1024,4096,43822.2,PASS
4096,2560,512,14167.6,PASS
4096,2560,1024,27249.3,PASS
4096,2560,2560,66056.9,PASS
4096,2560,4096,106829,PASS
4096,4096,512,24338.8,PASS
4096,4096,1024,45390.1,PASS
4096,4096,2560,106733,PASS
4096,4096,4096,168061,PASS
