M,K,N,It1,Status,shuffle_time
512,512,512,1460.15,FAIL,1333.00
512,512,1024,2397.65,FAIL,2578.00
512,512,2560,787,FAIL,5693
512,512,4096,1022,FAIL,8880
512,1024,512,2541.35,FAIL,2301.00
512,1024,1024,2736.00,FAIL,4564.00
512,1024,2560,1116,FAIL,11117
512,1024,4096,1544,FAIL,18227
512,2560,512,2768.80,FAIL,5460.00
512,2560,1024,3059.70,FAIL,11655.00
512,2560,2560,2595,FAIL,30911
512,2560,4096,3683,FAIL,45471
512,4096,512,2961.90,FAIL,8817.00
512,4096,1024,3522.25,FAIL,19467.00
512,4096,2560,3675,FAIL,49286
512,4096,4096,6908,FAIL,78043
1024,512,512,2487.30,FAIL,1218.00
1024,512,1024,2763.00,FAIL,2461.00
1024,512,2560,1165,FAIL,5403
1024,512,4096,2074,FAIL,9824
1024,1024,512,2844.70,FAIL,2713.00
1024,1024,1024,3036.40,FAIL,4300.00
1024,1024,2560,1945,FAIL,11210
1024,1024,4096,2618,FAIL,18470
1024,2560,512,3054.10,FAIL,5582.00
1024,2560,1024,3706.95,FAIL,11098.00
1024,2560,2560,4476,FAIL,30741
1024,2560,4096,6381,FAIL,48502
1024,4096,512,3418.25,FAIL,8688.00
1024,4096,1024,4581.70,FAIL,18112.00
1024,4096,2560,6025,FAIL,49669
1024,4096,4096,11119,FAIL,75436
2560,512,512,807,FAIL,1433
2560,512,1024,1229,FAIL,2520
2560,512,2560,2303,FAIL,5412
2560,512,4096,3200,FAIL,8917
2560,1024,512,1386,FAIL,2551
2560,1024,1024,2244,FAIL,4289
2560,1024,2560,4375,FAIL,11706
2560,1024,4096,6375,FAIL,18913
2560,2560,512,2553,FAIL,5357
2560,2560,1024,4334,FAIL,11182
2560,2560,2560,9558,FAIL,30912
2560,2560,4096,14280,FAIL,47337
2560,4096,512,3678,FAIL,8780
2560,4096,1024,6242,FAIL,19412
2560,4096,2560,15374,FAIL,50535
2560,4096,4096,24876,FAIL,76345
4096,512,512,1147,FAIL,1266
4096,512,1024,1668,FAIL,2814
4096,512,2560,3434,FAIL,5567
4096,512,4096,5446,FAIL,8985
4096,1024,512,1622,FAIL,2419
4096,1024,1024,2691,FAIL,4334
4096,1024,2560,6183,FAIL,11361
4096,1024,4096,9993,FAIL,18829
4096,2560,512,3790,FAIL,5853
4096,2560,1024,5933,FAIL,11246
4096,2560,2560,13689,FAIL,31890
4096,2560,4096,24083,FAIL,46760
4096,4096,512,6284,FAIL,8620
4096,4096,1024,10526,FAIL,19362
4096,4096,2560,23212,FAIL,47027
4096,4096,4096,38011,FAIL,75290
