M,K,N,It1,Status
512,512,512,837.8,PASS
512,512,1024,1245.15,PASS
512,512,2560,2248.9,PASS
512,512,4096,2873.25,PASS
512,1024,512,1197.5,PASS
512,1024,1024,1799,PASS
512,1024,2560,1214.85,PASS
512,1024,4096,1886.3,PASS
512,2560,512,2298.1,PASS
512,2560,1024,1434.25,PASS
512,2560,2560,2990.15,PASS
512,2560,4096,4260.75,PASS
512,4096,512,2877.2,PASS
512,4096,1024,2333.8,PASS
512,4096,2560,4232.25,PASS
512,4096,4096,7481.95,PASS
1024,512,512,1339.1,PASS
1024,512,1024,1803.05,PASS
1024,512,2560,1372.95,PASS
1024,512,4096,2204.85,PASS
1024,1024,512,1794.7,PASS
1024,1024,1024,2999.65,PASS
1024,1024,2560,2479.35,PASS
1024,1024,4096,3490.6,PASS
1024,2560,512,1968.2,PASS
1024,2560,1024,2694.25,PASS
1024,2560,2560,5292.55,PASS
1024,2560,4096,7477.3,PASS
1024,4096,512,2437.7,PASS
1024,4096,1024,4068.85,PASS
1024,4096,2560,7662.5,PASS
1024,4096,4096,13012.7,PASS
2560,512,512,2129.3,PASS
2560,512,1024,1174.45,PASS
2560,512,2560,2778.95,PASS
2560,512,4096,3834.2,PASS
2560,1024,512,1223.3,PASS
2560,1024,1024,2163.75,PASS
2560,1024,2560,4966.8,PASS
2560,1024,4096,7536.8,PASS
2560,2560,512,2895.7,PASS
2560,2560,1024,4920.15,PASS
2560,2560,2560,11569.7,PASS
2560,2560,4096,17695.2,PASS
2560,4096,512,4022.9,PASS
2560,4096,1024,7132.85,PASS
2560,4096,2560,18779.4,PASS
2560,4096,4096,29101.2,PASS
4096,512,512,2912.4,PASS
4096,512,1024,1984.15,PASS
4096,512,2560,3979.75,PASS
4096,512,4096,6263.6,PASS
4096,1024,512,1965.2,PASS
4096,1024,1024,3437.1,PASS
4096,1024,2560,7494.2,PASS
4096,1024,4096,11970.8,PASS
4096,2560,512,3753.4,PASS
4096,2560,1024,6998.55,PASS
4096,2560,2560,17024.1,PASS
4096,2560,4096,29188.6,PASS
4096,4096,512,6999.9,PASS
4096,4096,1024,11999,PASS
4096,4096,2560,28773.7,PASS
4096,4096,4096,44848.1,PASS
