M,K,N,It1,Status,shuffle_time
512,512,512,1406,FAIL,1162
512,512,1024,2567,FAIL,4581
512,512,2560,1050,FAIL,5255
512,512,4096,1013,FAIL,8649
512,1024,512,2474,FAIL,2417
512,1024,1024,2645,FAIL,4496
512,1024,2560,1043,FAIL,11040
512,1024,4096,1560,FAIL,19327
512,2560,512,2926,FAIL,5579
512,2560,1024,3000,FAIL,11190
512,2560,2560,2397,FAIL,30057
512,2560,4096,3548,FAIL,48755
512,4096,512,3803,FAIL,9182
512,4096,1024,3543,FAIL,20047
512,4096,2560,3506,FAIL,50008
512,4096,4096,6739,FAIL,79534
1024,512,512,2607,FAIL,1235
1024,512,1024,2765,FAIL,2405
1024,512,2560,1426,FAIL,5785
1024,512,4096,1648,FAIL,8972
1024,1024,512,2543,FAIL,2455
1024,1024,1024,2887,FAIL,4419
1024,1024,2560,2222,FAIL,11515
1024,1024,4096,2808,FAIL,19983
1024,2560,512,2514,FAIL,5904
1024,2560,1024,3717,FAIL,11986
1024,2560,2560,4014,FAIL,30900
1024,2560,4096,6251,FAIL,49817
1024,4096,512,3383,FAIL,9334
1024,4096,1024,4474,FAIL,19322
1024,4096,2560,6249,FAIL,48378
1024,4096,4096,11147,FAIL,80811
2560,512,512,1220.05,PASS,1168
2560,512,1024,1495,FAIL,2389
2560,512,2560,2647,FAIL,5403
2560,512,4096,3719,FAIL,9350
2560,1024,512,1447,FAIL,2404
2560,1024,1024,2048,FAIL,5230
2560,1024,2560,3857,FAIL,12454
2560,1024,4096,6028,FAIL,19209
2560,2560,512,2582,FAIL,6039
2560,2560,1024,4179,FAIL,11866
2560,2560,2560,9496,FAIL,30304
2560,2560,4096,14018,FAIL,47684
2560,4096,512,3388,FAIL,9144
2560,4096,1024,6059,FAIL,19649
2560,4096,2560,15315,FAIL,47194
2560,4096,4096,24847,FAIL,77653
4096,512,512,1262.45,PASS,1094
4096,512,1024,1720,FAIL,2314
4096,512,2560,3168,FAIL,5264
4096,512,4096,5498,FAIL,8689
4096,1024,512,1696,FAIL,2301
4096,1024,1024,2650,FAIL,4351
4096,1024,2560,5812,FAIL,12359
4096,1024,4096,9954,FAIL,19092
4096,2560,512,3432,FAIL,5643
4096,2560,1024,5951,FAIL,11069
4096,2560,2560,13738,FAIL,30064
4096,2560,4096,23961,FAIL,50763
4096,4096,512,6483,FAIL,9150
4096,4096,1024,10640,FAIL,18520
4096,4096,2560,23226,FAIL,50260
4096,4096,4096,37594,FAIL,76429
