M,K,N,It1,Max,Status,shuffle_time
512,512,512,1619.45,160,PASS,1184
512,512,1024,2578.65,244.00,FAIL,2315.00
512,512,4096,1301.1,654,PASS,8537
512,512,8192,2331.6,1527,PASS,19217
512,1024,512,2675.02,263.00,FAIL,2404.00
512,1024,1024,2843.40,363.00,FAIL,4296.00
512,1024,4096,1760,1348,FAIL,18198
512,1024,8192,2925,2348,FAIL,40044
512,4096,512,3150.20,639.00,FAIL,9288.00
512,4096,1024,3665.85,1170.00,FAIL,18637.00
512,4096,4096,6734,4836,FAIL,82377
512,4096,8192,11382,9371,FAIL,157888
512,8192,512,4044.50,2312.00,FAIL,18840.00
512,8192,1024,5540.23,3298.00,FAIL,38474.00
512,8192,4096,14771,12560,FAIL,153534
512,8192,8192,26370,24332,FAIL,324447
1024,512,512,2526.02,250.00,FAIL,1219.00
1024,512,1024,2982.98,387.00,FAIL,2336.00
1024,512,4096,2147.48,1290,PASS,8621
1024,512,8192,3067.07,2712,PASS,18959
1024,1024,512,2902.77,366.00,FAIL,2351.00
1024,1024,1024,3129.52,631.00,FAIL,4366.00
1024,1024,4096,2770,2311,FAIL,18167
1024,1024,8192,5423,4685,FAIL,39038
1024,4096,512,3784.57,1219.00,FAIL,9892.00
1024,4096,1024,4837.20,2206.00,FAIL,18368.00
1024,4096,4096,11190,9130,FAIL,75235
1024,4096,8192,20527,18482,FAIL,158296
1024,8192,512,5591.77,2991.00,FAIL,18165.00
1024,8192,1024,8295.38,6007.00,FAIL,37293.00
1024,8192,4096,26094,23840,FAIL,190801
1024,8192,8192,49228,47476,FAIL,323987
4096,512,512,1360.25,731,PASS,1184
4096,512,1024,1955.3,1585,PASS,2339
4096,512,4096,5605.4,4971,PASS,8717
4096,512,8192,10378.2,9615,PASS,18432
4096,1024,512,2025.35,1260,PASS,2359
4096,1024,1024,3080.35,2544,PASS,4342
4096,1024,4096,9911.22,8538,PASS,18565
4096,1024,8192,18372.6,17488,PASS,38071
4096,4096,512,6606,4658,FAIL,8967
4096,4096,1024,11253,9129,FAIL,20204
4096,4096,4096,37927,35623,FAIL,77763
4096,4096,8192,73387,71037,FAIL,159008
4096,8192,512,14252,12368,FAIL,18590
4096,8192,1024,25969,23370,FAIL,38013
4096,8192,4096,96004,93986,FAIL,155758
4096,8192,8192,182730,180241,FAIL,326746
8192,512,512,2080.43,1392,PASS,1099
8192,512,1024,2929.6,2784,PASS,2334
8192,512,4096,9863.28,9479,PASS,8999
8192,512,8192,20877.7,19048,PASS,17784
8192,1024,512,3351.68,2342,PASS,2453
8192,1024,1024,5320,4719,FAIL,4690
8192,1024,4096,18110,17300,FAIL,19735
8192,1024,8192,36780,34420,FAIL,39017
8192,4096,512,11333,9672,FAIL,9116
8192,4096,1024,20574,18436,FAIL,18677
8192,4096,4096,72478,70178,FAIL,79669
8192,4096,8192,143318,140889,FAIL,156765
8192,8192,512,25394,23328,FAIL,18578
8192,8192,1024,49287,46993,FAIL,38055
8192,8192,4096,190752,188725,FAIL,155974
8192,8192,8192,367092,363894,FAIL,323644
