M,K,N,It1,Status,shuffle_time
512,512,512,,FAIL,
512,512,1024,1606,FAIL,
512,512,2560,2941,FAIL,
512,512,4096,4335,FAIL,
512,1024,512,1903,FAIL,
512,1024,1024,3096.95,PASS,
512,1024,2560,5607,FAIL,
512,1024,4096,8821,FAIL,
512,2560,512,4142,FAIL,
512,2560,1024,7216,FAIL,
512,2560,2560,13468,FAIL,
512,2560,4096,23906,FAIL,
512,4096,512,6035,FAIL,
512,4096,1024,10303,FAIL,
512,4096,2560,23758,FAIL,
512,4096,4096,35167,FAIL,
1024,512,512,1886.6,PASS,
1024,512,1024,3305,FAIL,
1024,512,2560,5498,FAIL,
1024,512,4096,8209,FAIL,
1024,1024,512,3258,FAIL,
1024,1024,1024,5946.2,PASS,
1024,1024,2560,10772,FAIL,
1024,1024,4096,16490,FAIL,
1024,2560,512,7189,FAIL,
1024,2560,1024,13951,FAIL,
1024,2560,2560,25285,FAIL,
1024,2560,4096,42807,FAIL,
1024,4096,512,10543,FAIL,
1024,4096,1024,19558,FAIL,
1024,4096,2560,42704,FAIL,
1024,4096,4096,65348,FAIL,
2560,512,512,3335.4,PASS,
2560,512,1024,5927,FAIL,
2560,512,2560,12888,FAIL,
2560,512,4096,20473,FAIL,
2560,1024,512,6186,FAIL,
2560,1024,1024,10592,PASS,
2560,1024,2560,25379,FAIL,
2560,1024,4096,39736,FAIL,
2560,2560,512,13597,FAIL,
2560,2560,1024,25673,FAIL,
2560,2560,2560,63854,FAIL,
2560,2560,4096,99349,FAIL,
2560,4096,512,23920,FAIL,
2560,4096,1024,42820,FAIL,
2560,4096,2560,99276,FAIL,
2560,4096,4096,155764,FAIL,
4096,512,512,4572.8,PASS,
4096,512,1024,8460,FAIL,
4096,512,2560,20109,FAIL,
4096,512,4096,31643,FAIL,
4096,1024,512,8729,FAIL,
4096,1024,1024,16353.8,PASS,
4096,1024,2560,39587,FAIL,
4096,1024,4096,62538,FAIL,
4096,2560,512,23925,FAIL,
4096,2560,1024,42764,FAIL,
4096,2560,2560,99255,FAIL,
4096,2560,4096,156004,FAIL,
4096,4096,512,35216,FAIL,
4096,4096,1024,65418,FAIL,
4096,4096,2560,155936,FAIL,
4096,4096,4096,246253,FAIL,
