M,K,N,It1,Status,shuffle_time
512,512,512,631.45,PASS,23855
512,512,1024,802.25,FAIL,47242.00
512,512,2560,876,FAIL,107896
512,512,4096,1325,FAIL,168568
512,1024,512,1060.25,FAIL,26897.00
512,1024,1024,1222.2,PASS,49101
512,1024,2560,1537,FAIL,129499
512,1024,4096,2168,FAIL,193731
512,2560,512,1515.85,FAIL,32010.00
512,2560,1024,2285.85,FAIL,57913.00
512,2560,2560,2744,FAIL,141174
512,2560,4096,5720,FAIL,218108
512,4096,512,1931.00,FAIL,40639.00
512,4096,1024,3367.70,FAIL,78232.00
512,4096,2560,5583,FAIL,162605
512,4096,4096,7392,FAIL,261568
1024,512,512,771.1,PASS,44963
1024,512,1024,1200.90,FAIL,87233.00
1024,512,2560,1539,FAIL,223340
1024,512,4096,2087,FAIL,343602
1024,1024,512,1286.80,FAIL,47750.00
1024,1024,1024,2009.3,PASS,94020
1024,1024,2560,2320,FAIL,230789
1024,1024,4096,3313,FAIL,351756
1024,2560,512,2250.70,FAIL,59602.00
1024,2560,1024,4245.50,FAIL,106153.00
1024,2560,2560,4759,FAIL,250583
1024,2560,4096,8367,FAIL,390185
1024,4096,512,2901.05,FAIL,71571.00
1024,4096,1024,4983.55,FAIL,122087.00
1024,4096,2560,8413,FAIL,280809
1024,4096,4096,11614,FAIL,425490
2560,512,512,867,FAIL,110781
2560,512,1024,1446,FAIL,223636
2560,512,2560,2604,FAIL,555093
2560,512,4096,3838,FAIL,926180
2560,1024,512,1760,FAIL,125140
2560,1024,1024,2291,FAIL,232350
2560,1024,2560,4660,FAIL,567062
2560,1024,4096,6404,FAIL,945132
2560,2560,512,2798,FAIL,142386
2560,2560,1024,4573,FAIL,254334
2560,2560,2560,11475,FAIL,607207
2560,2560,4096,16928,FAIL,926983
2560,4096,512,5660,FAIL,162446
2560,4096,1024,8418,FAIL,280566
2560,4096,2560,16622,FAIL,638367
2560,4096,4096,25505,FAIL,962217
4096,512,512,1142,FAIL,172148
4096,512,1024,2191,FAIL,357369
4096,512,2560,3614,FAIL,938342
4096,512,4096,5409,FAIL,1465977
4096,1024,512,2256,FAIL,202027
4096,1024,1024,3283,FAIL,363481
4096,1024,2560,6297,FAIL,964899
4096,1024,4096,9969,FAIL,1503872
4096,2560,512,5752,FAIL,222265
4096,2560,1024,8315,FAIL,401057
4096,2560,2560,16882,FAIL,959097
4096,2560,4096,24473,FAIL,1548013
4096,4096,512,7389,FAIL,268592
4096,4096,1024,11888,FAIL,437190
4096,4096,2560,25369,FAIL,985824
4096,4096,4096,38755,FAIL,1587335
